ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
quantum correction,376,0.00522976502847605,76432314.03902997,376,0.00522976502847605,76432314.03902997
explicit form,373,0.005188038179844592,75824049.02184953,373,0.005188038179844592,75824049.02184953
general solution,373,0.005188038179844592,75823775.0338028,373,0.005188038179844592,75823775.0338028
numerical result,372,0.005174129230300773,75620868.03832781,372,0.005174129230300773,75620868.03832781
harmonic oscillator,372,0.005174129230300773,75621392.03377163,372,0.005174129230300773,75621392.03377163
important role,371,0.005160220280756953,75418219.02008834,371,0.005160220280756953,75418219.02008834
noncommutative geometry,367,0.0051045844825816766,74606925.04106826,367,0.0051045844825816766,74606925.04106826
yang-mills theory,364,0.005062857633950219,73997916.02714776,364,0.005062857633950219,73997916.02714776
cosmological solution,363,0.0050489486844064,73794577.05940841,363,0.0050489486844064,73794577.05940841
nonlinear sigma,363,0.0050489486844064,73794346.01173055,363,0.0050489486844064,73794346.01173055
new type,362,0.00503503973486258,73591930.02089019,362,0.00503503973486258,73591930.02089019
chemical potential,361,0.005021130785318761,73388497.06132461,361,0.005021130785318761,73388497.06132461
large n,360,0.005007221835774941,73185694.05205116,360,0.005007221835774941,73185694.05205116
einstein equation,360,0.005007221835774941,73185822.04615226,360,0.005007221835774941,73185822.04615226
previous paper,359,0.004993312886231122,72983115.02199781,359,0.004993312886231122,72983115.02199781
magnetic flux,359,0.004993312886231122,72982971.0476509,359,0.004993312886231122,72982971.0476509
fundamental representation,356,0.004951586037599664,72374288.0319681,356,0.004951586037599664,72374288.0319681
dirac equation,355,0.004937677088055844,72171791.03204036,355,0.004937677088055844,72171791.03204036
magnetic charge,353,0.0049098591889682065,71765025.0683738,353,0.0049098591889682065,71765025.0683738
gauge group,349,0.00485422339079293,70953387.04697227,349,0.00485422339079293,70953387.04697227
non-linear sigma model,276,0.004844114699682094,56131986.99774547,276,0.004844114699682094,56131986.99774547
general form,348,0.00484031444124911,70750590.02447054,348,0.00484031444124911,70750590.02447054
topological charge,347,0.004826405491705291,70548205.02060653,347,0.004826405491705291,70548205.02060653
perturbative expansion,345,0.004798587592617652,70141607.02917095,345,0.004798587592617652,70141607.02917095
spontaneous symmetry,344,0.0047846786430738334,69938310.71100971,344,0.0047846786430738334,69938310.71100971
black hole background,271,0.004756358998600896,55116279.06910044,271,0.004756358998600896,55116279.06910044
feynman diagram,340,0.004729042844898556,69127126.02358425,340,0.004729042844898556,69127126.02358425
new solution,339,0.004715133895354737,68923979.03275508,339,0.004715133895354737,68923979.03275508
such model,335,0.004659498097179459,68111939.02710171,335,0.004659498097179459,68111939.02710171
internal space,332,0.004617771248548001,67503154.028597,332,0.004617771248548001,67503154.028597
exact result,332,0.004617771248548001,67502812.03723033,332,0.004617771248548001,67502812.03723033
integrable model,330,0.0045899533494603625,67097036.05622286,330,0.0045899533494603625,67097036.05622286
supersymmetric extension,328,0.0045621354503727245,66691330.02508379,328,0.0045621354503727245,66691330.02508379
general class,326,0.004534317551285086,66284844.025897935,326,0.004534317551285086,66284844.025897935
finite number,326,0.004534317551285086,66285024.028082274,326,0.004534317551285086,66285024.028082274
physical state,326,0.004534317551285086,66285338.02412173,326,0.004534317551285086,66285338.02412173
non-abelian gauge theory,258,0.004528194175789783,52475930.50120492,258,0.004528194175789783,52475930.50120492
general case,325,0.004520408601741266,66082043.02320527,325,0.004520408601741266,66082043.02320527
topological field,325,0.004520408601741266,66081573.95676515,325,0.004520408601741266,66081573.95676515
analytic continuation,324,0.004506499652197448,65878894.03006217,324,0.004506499652197448,65878894.03006217
cosmological perturbation,323,0.004492590702653628,65675921.07810683,323,0.004492590702653628,65675921.07810683
supersymmetric quantum,323,0.004492590702653628,65675877.71978166,323,0.004492590702653628,65675877.71978166
black string,322,0.004478681753109809,65472660.068686604,322,0.004478681753109809,65472660.068686604
new result,321,0.0044647728035659895,65269939.0227392,321,0.0044647728035659895,65269939.0227392
short distance,318,0.004423045954934532,64660810.03656665,318,0.004423045954934532,64660810.03656665
dual description,316,0.004395228055846893,64254648.036081545,316,0.004395228055846893,64254648.036081545
dual field,314,0.004367410156759254,63847912.82992332,314,0.004367410156759254,63847912.82992332
