ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
integrated luminosity,559,0.012282485387309468,133651702.47467671,559,0.012282485387309468,133651702.47467671
proton-proton collision,506,0.011117956361321272,121005984.72202234,506,0.011117956361321272,121005984.72202234
recent result,506,0.011117956361321272,121008030.15513971,506,0.011117956361321272,121008030.15513971
numerical result,504,0.011074011869774547,120529398.26012559,504,0.011074011869774547,120529398.26012559
high energy,501,0.01100809513245446,119813656.26462114,501,0.01100809513245446,119813656.26462114
higgs boson,490,0.010766400428947477,117187218.49471323,490,0.010766400428947477,117187218.49471323
magnetic moment,486,0.010678511445854025,116233968.324708,486,0.010678511445854025,116233968.324708
finite temperature,485,0.010656539200080665,115994966.37904759,485,0.010656539200080665,115994966.37904759
gauge theory,476,0.010458788988120405,113847362.26347315,476,0.010458788988120405,113847362.26347315
differential cross section,372,0.010314030046731986,89011538.29730855,372,0.010314030046731986,89011538.29730855
next-to-leading order,467,0.010261038776160147,111698110.39946382,467,0.010261038776160147,111698110.39946382
cp violation,460,0.01010723305574661,110027648.3257601,460,0.01010723305574661,110027648.3257601
top quark,459,0.010085260809973249,109787596.58788502,459,0.010085260809973249,109787596.58788502
angular momentum,457,0.010041316318426525,109311590.27039471,457,0.010041316318426525,109311590.27039471
upper bound,448,0.009843566106466263,107161950.24836957,448,0.009843566106466263,107161950.24836957
cosmic microwave background,346,0.009593156978949642,82798430.64028405,346,0.009593156978949642,82798430.64028405
low energy,431,0.009470037928319106,103103250.19774617,431,0.009470037928319106,103103250.19774617
chiral symmetry,429,0.009426093436772382,102625378.52142167,429,0.009426093436772382,102625378.52142167
chiral perturbation theory,338,0.00937134988117046,80887684.42801912,338,0.00937134988117046,80887684.42801912
previous work,404,0.008876787292438326,96655588.17316212,404,0.008876787292438326,96655588.17316212
dark matter candidate,318,0.008816832136722505,76106154.52443355,318,0.008816832136722505,76106154.52443355
early universe,396,0.00870100932625143,94743730.35374026,396,0.00870100932625143,94743730.35374026
radiative correction,394,0.008657064834704705,94266580.2426997,394,0.008657064834704705,94266580.2426997
standard model prediction,311,0.008622750926165719,74434044.33768371,311,0.008622750926165719,74434044.33768371
experimental result,387,0.00850325911429117,92594998.1939601,387,0.00850325911429117,92594998.1939601
theoretical prediction,382,0.008393397885424357,91400054.2595415,382,0.008393397885424357,91400054.2595415
gravitational wave,382,0.008393397885424357,91400004.4035548,382,0.008393397885424357,91400004.4035548
critical point,380,0.008349453393877633,90922572.3428985,380,0.008349453393877633,90922572.3428985
dark energy,380,0.008349453393877633,90922158.51153529,380,0.008349453393877633,90922158.51153529
exact solution,374,0.008217619919237461,89489590.20798343,374,0.008217619919237461,89489590.20798343
initial condition,365,0.008019869707277201,87338922.28386244,365,0.008019869707277201,87338922.28386244
quark-gluon plasma,364,0.007997897461503839,87100020.37197617,364,0.007997897461503839,87100020.37197617
total cross section,288,0.00798505552005057,68936160.3202207,288,0.00798505552005057,68936160.3202207
