,ngram,partition,termhood_x
482,kinematic region,2,22039292.165620204
486,phenomenological analysis,2,22039246.17584855
488,first uncertainty,2,21800114.395264596
350,generalized parton distribution,2,21800088.368833967
492,cm experiment,2,21799600.392709207
495,dominant contribution,2,21560394.127515566
513,strong decay,2,21321116.197971795
506,high precision,2,21320956.138467915
512,significant deviation,2,21320674.192626003
503,bottom quark,2,21320656.20096268
518,previous calculation,2,21081476.130975436
517,higher energy,2,21081440.152093403
526,lattice calculation,2,20841992.155442987
377,standard model background,2,20841710.28123573
535,lhcb collaboration,2,20602572.182677742
538,nuclear effect,2,20602562.296925534
529,perturbative calculation,2,20602508.1352293
530,experimental study,2,20602448.14988907
541,previous measurement,2,20363196.130220078
548,lagrangian approach,2,20363170.13820247
550,new data,2,20363036.146908477
544,strange quark,2,20363026.157012556
546,rhic energy,2,20363016.254223697
554,present status,2,20123792.108787075
555,direct measurement,2,20123550.14899687
572,signal event,2,19884038.160637125
590,light meson,2,19644608.162877828
584,decay constant,2,19644604.1664563
589,precise determination,2,19644522.1489247
586,tau lepton,2,19644424.188625485
594,virtual photon,2,19405164.1563865
603,latest result,2,19165700.122406367
601,heavy baryon,2,19165684.26044799
433,new physic effect,2,19165432.184303135
612,e+e- collider,2,18926382.122512948
607,lattice qcd,2,18926098.175073534
614,electroweak correction,2,18925988.226676326
613,quark mass,2,18925908.233036082
627,weak decay,2,18686684.227511402
623,particular emphasis,2,18686650.123385362
444,higher order correction,2,18686582.14125001
620,heavy meson,2,18686564.189009108
624,associated production,2,18686490.198196683
455,direct cp violation,2,18447198.1971749
632,kinematic range,2,18447088.200818576
630,electroweak interaction,2,18447014.143519685
647,chiral lagrangian,2,18207674.17407551
642,pb+pb collision,2,18207616.281523146
640,lhc experiment,2,18207532.159089237
641,pair production,2,18207400.170658544
660,molecular state,2,17968360.205704622
472,high transverse momentum,2,17968046.200634927
668,experimental observation,2,17728624.1371922
479,large transverse momentum,2,17728492.19417842
670,measured value,2,17728482.171993397
679,theoretical result,2,17489136.134651937
675,numerical value,2,17489118.13767562
481,inclusive cross section,2,17489090.162013214
680,central value,2,17489040.154102262
684,new insight,2,17249566.176123213
689,lower energy,2,17249518.175728258
685,future measurement,2,17249458.16439205
501,virtual compton scattering,2,17010206.339014266
720,cern sps,2,16770786.149995377
718,first error,2,16770768.315486673
719,partial wave,2,16770680.148763172
721,reasonable agreement,2,16770632.138869371
715,other approach,2,16770614.149912799
723,few year,2,16770596.127980977
722,future prospect,2,16770594.141061272
733,such state,2,16531190.121209593
736,qcd calculation,2,16531162.134964483
745,* +,2,16291710.136560185
755,main feature,2,16291618.120769663
742,\rm t,2,16291558.270284932
747,sensitive probe,2,16291526.132727297
746,theoretical approach,2,16291508.160854284
752,new phenomenon,2,16291374.17082537
763,exclusive process,2,16052176.1488077
769,combined analysis,2,16052170.118387172
764,phenomenological application,2,16052132.122215424
757,exotic state,2,16052126.145639302
761,heavy quarkonia,2,16052108.149871634
759,logarithmic accuracy,2,16052084.22725429
765,central collision,2,16051982.335691703
551,higgs boson production,2,16051934.199416205
775,e+ e-,2,15812690.116048945
781,azimuthal correlation,2,15812574.232039122
774,model-independent way,2,15812574.120574756
777,d^ *,2,15812550.210838493
793,significant signal,2,15573216.154303882
790,experimental uncertainty,2,15573062.129079776
787,inverse femtobarns,2,15572736.365801206
599,single spin asymmetry,2,15333692.212047027
804,angular correlation,2,15333536.167114535
808,kinematic distribution,2,15333350.188027268
801,phenomenological study,2,15333312.168496847
816,hadronic interaction,2,15094072.155666724
809,better understanding,2,15093962.132898167
810,such effect,2,15093876.153786011
837,qcd factorization,2,14854496.160664575
828,hard process,2,14854472.170741117
834,inclusive production,2,14854440.17012897
831,low-energy constant,2,14854364.278822022
855,nuclear target,2,14615026.178853558
852,kinematic variable,2,14614928.135343442
856,w boson,2,14614874.151073372
841,nuclear medium,2,14614864.250786101
873,bound state,2,14375500.119320815
650,top quark production,2,14375372.294209683
865,cp asymmetry,2,14375364.248521173
872,large logarithm,2,14375354.182563674
875,nlo correction,2,14375346.19410257
871,present study,2,14375334.143349834
864,quark-antiquark pair,2,14375310.166921072
662,perturbative qcd approach,2,14135922.25002695
888,anomalous coupling,2,14135892.149682498
895,gluon distribution,2,13896340.20228197
899,physical point,2,13896292.239529606
672,top quark decay,2,13896254.220500788
696,partial wave analysis,2,13657126.069907127
907,azimuthal asymmetry,2,13656918.134938253
901,azimuthal angle,2,13656838.150473608
902,proton-antiproton collision,2,13656802.195589548
913,perturbative series,2,13656788.159249015
695,heavy quark mass,2,13656764.182443574
914,present measurement,2,13417400.132483577
921,cp-violating asymmetry,2,13417356.212915901
922,partial width,2,13417350.155698175
932,exclusive production,2,13417342.168000566
577,heavy quark effective theory,2,13417316.166136276
915,main goal,2,13417298.122463893
928,various model,2,13417292.117533876
925,obtained result,2,13417260.146734765
917,theoretical study,2,13417178.14820075
578,standard model effective field,2,13417118.228988482
927,signal strength,2,13417104.178717619
949,valuable information,2,13177738.127536785
947,physical value,2,13177638.242668295
957,short review,2,12938350.08083893
739,light-cone sum rule,2,12938264.136696948
979,statistical error,2,12938238.115186378
977,heavy quarkonium,2,12938218.173071457
955,opposite sign,2,12938208.135473141
970,top production,2,12938154.209150191
995,brief overview,2,12698806.088802872
981,kinematical region,2,12698702.142417403
992,charmed meson,2,12698700.13455343
982,nonperturbative effect,2,12698666.133327276
771,heavy quark symmetry,2,12698630.227013145
996,two-loop correction,2,12698628.14585727
998,single-spin asymmetry,2,12459198.183781074
10,magnetic field,3,219395114.45633623
31,finite temperature,3,115994966.37904759
41,chiral symmetry,3,102625378.52142167
51,critical point,3,90922572.3428985
59,chemical potential,3,85188380.49221374
73,effective potential,3,73717006.24168952
85,large number,3,66545486.15604552
119,critical temperature,3,54588128.33415586
133,previous study,3,50999930.16263054
139,spectral function,3,49325538.25843582
146,nuclear matter,3,48368398.366480224
162,present work,3,46215128.16247953
163,high temperature,3,46215072.21670578
107,chiral symmetry breaking,3,44300808.32254933
174,spontaneous breaking,3,44300666.235417835
198,low temperature,3,41189982.28174232
209,holographic model,3,39514976.20513068
241,chiral condensate,3,36164226.31522819
243,shear viscosity,3,35685742.252873346
184,chiral phase transition,3,34009838.455192186
237,linear sigma model,3,28983102.1935258
342,chiral limit,3,28025188.27866366
355,effective mass,3,27306930.175203525
361,quark matter,3,27067820.28200853
363,neutron star,3,26828104.31801973
413,effective model,3,25152120.20093449
422,lattice simulation,3,24673250.174942225
438,thermal equilibrium,3,23954928.162421577
454,short distance,3,23476080.167039268
333,first order phase,3,22518036.240538158
336,first-order phase transition,3,22278638.226756413
485,high density,3,22039230.26180411
527,compact star,3,20841912.31558074
533,scale invariance,3,20602406.20391454
531,magnetic effect,3,20602370.28772539
553,chiral model,3,20123616.183993068
559,hadronic matter,3,20123506.22720003
557,schwinger-dyson equation,3,20123484.189968742
574,finite density,3,19884036.192632634
415,functional renormalization group,3,19884000.26359897
596,critical behavior,3,19405000.223278053
604,different method,3,19165630.13100262
610,nambu-jona-lasinio model,3,18926106.27420873
445,qcd phase diagram,3,18686428.359060213
653,dyson-schwinger equation,3,17968222.161809735
663,phase transition,3,17728482.18793543
692,key ingredient,3,17249612.123145506
700,holographic qcd,3,17010112.212918438
708,jona-lasinio model,3,17010070.288196407
515,chiral symmetry restoration,3,16770504.245869286
732,landau gauge,3,16531222.157376759
737,possible existence,3,16531156.121832015
744,broken phase,3,16291470.209113896
749,thermodynamic quantity,3,16291450.201471554
762,asymptotic freedom,3,16052006.168256307
766,njl model,3,16051982.240338268
780,particular interest,3,15812536.134814605
782,qcd matter,3,15812370.238045607
821,spectral density,3,15094040.149185345
811,dense matter,3,15093890.18661526
833,possible implication,3,14854434.13077602
836,effective description,3,14854404.145725762
854,small number,3,14614822.154982273
842,baryonic matter,3,14614738.212667074
867,axial anomaly,3,14375408.157170666
560,finite temperature and density,3,13656654.24099022
933,deconfinement transition,3,13417222.212499456
724,second order phase,3,13177568.223042333
956,fermi surface,3,12938260.187718993
974,kinetic equation,3,12938220.159428362
978,qualitative agreement,3,12938118.148028573
990,universality class,3,12698576.172389043
