,ngram,partition,termhood_x
357,baryon asymmetry,0,27306668.310671758
364,experimental search,0,26828168.165226478
383,brief review,0,26110136.111197073
382,symmetric model,0,26109744.253306866
380,scalar mass,0,26109646.211944453
391,recent observation,0,25870548.13482718
393,rare decay,0,25870532.160244722
394,grand unification,0,25870492.173909474
388,simplified model,0,25870102.298433203
402,galactic center,0,25630724.57584786
400,higgs doublet,0,25630684.225066815
403,recent year,0,25391544.17119946
412,atmospheric neutrino,0,25152482.24907798
411,effective operator,0,25151920.204865243
286,neutral higgs boson,0,24912454.25993602
417,higgs potential,0,24912422.249151457
428,other model,0,24433668.158683244
295,higgs doublet model,0,24433614.21874181
431,solar neutrino,0,24194682.283929277
435,axion-like particle,0,23955024.204857018
436,weak interaction,0,23954966.142939415
437,same order,0,23954840.15152678
305,standard model gauge,0,23715414.171900965
453,randall-sundrum model,0,23476050.154900767
457,dark photon,0,23236480.24026077
316,neutrino mass hierarchy,0,22997312.271945596
471,weak scale,0,22757402.217028588
473,future collider,0,22518120.158491936
491,active neutrino,0,21799630.359552633
493,cosmological observation,0,21799526.24976463
499,next generation,0,21560372.141563095
359,dark matter density,0,21559964.317691553
505,heavy neutrino,0,21320658.27886591
520,scalar sector,0,21081306.16282909
365,strong cp problem,0,21081286.226280723
366,new physic model,0,21081282.17228939
524,specific example,0,20841892.138622496
534,phenomenological consequence,0,20602390.155603718
543,uv completion,0,20362814.18607654
547,lightest neutralino,0,20362682.37764768
569,open question,0,19884040.144045968
562,cp-violating phase,0,19883972.192219533
566,new constraint,0,19883972.15099858
565,few percent,0,19883960.151477825
575,fine tuning,0,19883958.161239874
576,two-higgs-doublet model,0,19883812.221668035
563,scalar boson,0,19883806.189114287
585,specific model,0,19644400.15903462
595,higgs coupling,0,19404792.249245223
426,light neutrino mass,0,19404784.308381755
600,experimental test,0,19165674.117618967
605,dirac fermion,0,19165516.151970927
434,composite higgs model,0,19165340.358619016
617,decay rate,0,18925954.16262285
609,effective coupling,0,18925926.19241438
446,electroweak phase transition,0,18686396.365865316
456,neutrino oscillation experiment,0,18447082.1796396
636,gauge coupling,0,18447004.16320339
629,milky way,0,18446964.358685903
646,experimental signature,0,18207506.149502452
645,electroweak baryogenesis,0,18207272.404040966
652,kinetic mixing,0,17968024.214773938
657,susy model,0,17968004.200441822
656,cosmological data,0,17967910.25053116
659,parameter space,0,17967814.18949465
666,stringent limit,0,17728532.16377776
669,flavour violation,0,17728416.229989342
387,dark matter relic density,0,17728254.268904153
674,high scale,0,17488910.20766037
686,indirect detection,0,17249280.304606266
707,other experiment,0,17010080.167237483
699,massive neutrino,0,17010060.18111308
704,nambu-goldstone boson,0,17009990.178148054
703,planck scale,0,17009974.18320072
500,neutral gauge boson,0,17009896.22500179
710,boson mass,0,17009882.170739513
717,broad range,0,16770584.124654293
716,minimal supergravity,0,16770516.182494171
514,new physic contribution,0,16770444.175829317
516,dark matter abundance,0,16770324.227134468
725,new state,0,16531040.13956696
731,big bang,0,16530996.216235107
728,hidden sector,0,16530932.197429918
730,heavy particle,0,16530932.161129734
726,subsequent decay,0,16530928.16677208
754,new mechanism,0,16291634.113816874
743,effective interaction,0,16291494.154052842
748,one-loop contribution,0,16291402.171971845
751,lhc search,0,16291376.168647515
539,standard model fermion,0,16291358.184294598
767,flavour symmetry,0,16051956.214534981
773,neutrino interaction,0,15812684.16075533
784,new contribution,0,15812432.14449936
561,light higgs boson,0,15812380.219282065
788,underground laboratory,0,15573300.147828618
791,possible explanation,0,15573040.130623482
798,threshold correction,0,15573026.15573542
796,realistic model,0,15572990.13665012
580,dark matter scenario,0,15572660.235593138
803,allowed region,0,15333342.158897657
598,new physic scenario,0,15333304.201512532
825,cosmological constraint,0,15093812.202975318
819,current limit,0,15093750.173457963
618,dark matter detection,0,14854236.220888779
848,generic feature,0,14614906.130435955
847,new limit,0,14614904.147800252
853,neutral particle,0,14614892.172625586
857,natural way,0,14614864.15688673
849,soft term,0,14614850.24930796
859,such scenario,0,14614850.151945366
858,current bound,0,14614802.160259983
843,tev scale,0,14614704.200761324
874,lepton number,0,14375356.159506965
861,different scenario,0,14375356.136606798
860,loop correction,0,14375342.166627659
651,two-higgs doublet model,0,14375236.193410965
868,large region,0,14375194.161767842
870,stringent bound,0,14375190.184125785
869,visible sector,0,14375136.223615449
876,specific case,0,14135844.12995091
885,fifth dimension,0,14135748.298861163
905,large mass,0,13656738.142225992
908,yukawa interaction,0,13656700.145960461
903,new interaction,0,13656688.166254662
934,supersymmetric su,0,13417358.125159195
936,experimental evidence,0,13417354.116963107
926,wide variety,0,13417222.140631262
920,many case,0,13417222.137874717
919,third generation,0,13417190.143838733
713,dark matter halo,0,13417152.294335362
916,see-saw mechanism,0,13417112.217881687
930,phenomenological constraint,0,13417092.180741392
924,indirect search,0,13416984.237415291
579,dark matter direct detection,0,13416884.40566822
939,experimental setup,0,13177810.122339733
951,baryon number,0,13177718.135989066
952,additional contribution,0,13177684.122474106
948,independent way,0,13177668.143003754
945,additional constraint,0,13177648.141660394
953,experimental sensitivity,0,13177566.160485245
946,simple extension,0,13177522.173869593
968,cpt violation,0,12938326.200453345
969,present data,0,12938204.123332737
972,normal hierarchy,0,12938114.347005978
959,minimal extension,0,12938060.160201931
964,current constraint,0,12938042.165061146
738,standard model field,0,12938004.16906589
991,observed value,0,12698678.102691237
984,electromagnetic interaction,0,12698652.157954622
986,majorana fermion,0,12698608.133468073
988,seesaw model,0,12698510.254229736
993,such particle,0,12698494.174454525
772,higgs boson mass,0,12698384.208070975
1,black hole,1,564938797.230134
3,scalar field,1,411836974.63403934
11,boundary condition,1,212735090.32006443
