,topic,Accelerators,Astrophysics,Computing,Condensed Matter,Experiment-HEP,Experiment-Nucl,General Physics,Gravitation and Cosmology,Instrumentation,Lattice,Math and Math Physics,Other,Phenomenology-HEP,Quantum Physics,Theory-HEP,Theory-Nucl,topic_x,topic_y,description
10,10,-0.4506200943655122,0.6921148518544047,-0.27965915503047106,-0.15025620381401597,-0.6399849662441203,-0.6552545550507597,0.11806299250966937,0.840901194103773,-0.36229440000821833,-0.2746089911410809,0.0034392601405793346,0.08216423057905582,-0.09198767465108713,0.3322812017961804,0.2585388352809266,-0.47359580365365717,10,10,Cosmology and gravity
11,11,-0.8739141693578496,-0.5952907082057507,-0.5072488936123805,-0.23344807388096997,-1.1529464773675688,-1.1866353943663723,-0.18998429943369827,-0.02376071390275746,-1.0633422862260706,-0.6784046994867038,0.8838278349150559,-0.5733672336404046,-0.7438614692644558,-0.25445564725405734,0.5645061900971584,-1.043307260419465,11,11,Supergravity
12,12,-0.9667282993204415,-0.48616277300356225,-0.13436826286471096,-0.07804595940610586,-0.37542239203738287,-0.1094529188245024,-0.18034457480003968,-0.4271271394025577,-0.9799529425937018,0.3739046414729649,-0.3735133489755754,-0.08542772500887838,0.249476824755308,-0.5230879045477548,-0.25711040108237815,0.36255554978993776,12,12,QCD
13,13,-0.8414908092257635,-0.6048605785236273,0.23076963713014798,0.2890670760114086,-0.6600448379016419,-0.5377390342220713,0.16370486194934497,-0.19661455783836634,-1.07324247450136,-0.007433128543802876,0.4626915187353756,-0.20588887775130563,-0.1400512737342294,0.03576803911666526,0.2621841106836992,-0.20586992934316786,13,13,Amplitudes and Feynman Diagram
14,14,-1.122417201645084,-0.5684568197126261,-0.4448606632809039,-0.013465820961328647,-1.2863601445351724,-1.284846254973995,0.074011080289495,0.16121677905105225,-1.3961033921966328,0.17304042910652245,0.5525461742123706,-0.35316765861564614,-0.5844445673376155,0.08863228434964757,0.4928899154853004,-0.7799743066455481,14,14,Gauge Theory
15,15,-1.307959679025107,-0.8670635282524303,-0.6084462453333113,0.3492034946586179,-1.1120632452041899,-1.0144626919008337,0.2483150205094389,-0.10963553830803066,-1.1270567470849222,-0.2465627933140937,0.8883367941743813,-0.5269794265770974,-0.8361260173101375,0.07558267355677126,0.5652278305488615,-0.8795220356980125,15,15,Conformal Field Theory
16,16,1.7092092705810658,0.2836239514484991,0.5578845248817944,0.05334947644426173,0.5782218398831896,0.5746115275289476,0.22910037096543584,-0.24492447418328905,1.3745281238132212,-0.411713359288572,-0.44474735533386556,0.39914916133741135,0.09944457072806552,0.32549233655133974,-0.3876637664515528,0.10895234461648606,16,16,Experiments on light
17,17,-0.6252681999480659,0.40321044228198094,-0.4738605592304249,0.17474048870208717,-0.9140084558293535,-0.9937228778332158,0.21746018789643998,0.8799888525070765,-0.7749381243667923,-0.262987201386453,0.25378109998761517,-0.02300007752239606,-0.38440179353557546,0.2640122110935966,0.4393572601495096,-0.5095874338849025,17,17,Scalar fields and gravity
18,18,-0.6619647793999534,-0.32057435975981013,-0.36670774718898846,0.4135370102866384,-0.7717024770500157,-0.49741342889134854,0.18723479262547366,-0.008506775136954248,-0.7768909334521595,0.31075120776119003,0.10347950406128842,0.03391527491334824,-0.11022392728388204,-0.12743698893290495,0.22775932167321788,-0.22014088566414214,18,18,Renormalization
19,19,-1.0764266279493437,-0.6348460427635114,-0.4707669175596501,1.0105328884072657,-1.0825149579878166,-1.0043954104170911,0.7370399554448277,0.42773721520953,-0.910134430710395,-0.32437237443297573,0.4106674295646407,-0.040005483015303406,-0.7148945878715415,1.100906301166203,0.5460300829808071,-0.6149621647992798,19,19,Holographic Principle
20,20,0.37013365857841984,-0.004170819830566639,-0.14081732843807204,-0.878914045233859,0.7038727570948143,0.6760706074668621,-0.560821647753924,-0.7407002538892032,0.23358662764757013,-0.799503083757281,-0.8593227296940615,0.07687417451392488,0.24213710286922346,-0.535569742990381,-0.7695934489897474,0.3130594205152971,20,20,Annihilation and scattering cross-sections
21,21,0.6137809686433093,0.27988884828069327,-0.42682884226908524,-0.7867235837269513,0.4446713531136878,0.1422395621150195,-0.6380808813681063,-0.7286657498287599,0.9631509415570872,-0.7459558650108004,-0.7673914943952161,-0.08884609476092895,0.2949268118525425,-0.5458444723009392,-0.7144532921131953,-0.3793538702150041,21,21,Solar neutrinos
22,22,-0.5111744815246188,-0.3584436226217898,-0.3289208102979902,-0.477403299998139,0.24457304755798928,0.6641482582365459,-0.3369178909523586,-0.3840081043121793,-0.36501413631391333,0.2398332961784196,-0.31253622016018917,0.04772323639790116,0.18522053186639026,-0.3809841462480592,-0.3637161797376394,0.5439823804972832,22,22,Form factors
23,23,0.6586068057597486,-0.5631436587274727,-0.38340184440779607,-0.5943664872987702,0.6889168286672698,0.7388696988497246,-0.4910223474780701,-0.7358290945205289,-0.11852948120018887,-0.6035363101634922,-0.7741549233955622,0.012468987692903777,0.20782444997499247,-0.48842580846667244,-0.7336630568042917,0.34966633056300095,23,23,Spin/angular momentum/polarization
24,24,-0.18561615333531875,-0.43872265405072264,-0.5761872148096129,-0.5268709618937849,0.7194107922537848,0.45838852309178973,-0.4901912984099855,-0.7021207473342838,-0.22065797342415583,-0.1300135553316395,-0.6600256436315937,0.366068210554757,0.2051027637017304,-0.39544217473334276,-0.7122982579335445,0.32669357639633856,24,24,Mesons resonances
25,25,1.332597631662971,-0.05246179991733303,0.6369622737396341,-0.7299149891975553,0.7129077414011356,0.3504522037517877,-0.53127325288891,-0.5825411283049804,1.0147192140386203,-0.44042708574568445,-0.6842051937728115,-0.014529387150696184,0.2030679791113145,-0.5019515692577359,-0.6692933394816104,-0.21285150634729272,25,25,Search for BSM physics
26,26,-0.6919729709983697,-0.5524387586007554,-0.43490702745207876,0.8929899913005126,-1.080794427523425,-1.034755130010889,0.5648896882000403,0.018984027583324823,-1.0881591369317551,0.30540091232629973,0.494998451075489,-0.2732637244359266,-0.5033909363903879,0.27927912363985163,0.4357935542196183,-0.5724300630602397,26,26,Chern–Simons
27,27,-0.7847304793827835,0.4352440488623145,-0.9695589836185682,-0.1113756018465354,-1.242187328541332,-1.2412161426635984,0.10202400728459467,1.4770652493842706,-0.9647016163387605,-1.1922959770613208,-0.4591079525575048,0.17679597820330253,-0.9361757169533127,0.4247104601351935,0.6274623103576535,-1.0420092876546083,27,27,Black holes
28,28,-0.2333212298868818,-0.7583377163454939,-0.6210045756833363,-1.1410202770324926,0.91512637880871,0.12269712746474554,-0.9729070676395433,-1.1366916387165125,-0.306362922911309,-0.35787270569372004,-1.1699948447543433,-0.007376803761295536,0.17565013715650968,-1.0163767116120703,-1.0703718835993217,-0.30519718664804796,28,28,Lepton/Meson decay
29,29,0.568929933292772,0.7361279664452619,0.23647944686621997,-0.0903537324271406,0.28694642772070905,0.24463560887281724,-0.026725909175007057,0.24940474444274469,0.8118190459066761,-0.3210856213275603,-0.43166054227759343,0.10157913194405234,0.0702339620306394,0.12558301952372566,-0.1629617329989132,0.06546595707119314,29,29,High-energy source fluxes
30,30,0.004489647851627155,-0.02504482586910105,-0.5871797778886815,-0.6168214238558485,0.4253487103955881,-0.018562014345582745,-0.5074339315298583,-0.4747840377485785,0.08412942376218882,-0.3196238739275798,-0.6391224565472712,0.08406337884993098,0.27835062674995154,-0.529062569421358,-0.5863646974491447,-0.13994300842530033,30,30,CP violation bis
31,31,-0.26958461590772564,-0.501207559315248,-0.20513873637938435,-0.19282071732096637,0.27341890442979483,0.32084514066817593,-0.17726045760893724,-0.533218530161615,-0.47822308924400014,-0.26078270242469703,-0.31482889892041765,0.07747820207793847,0.20682976231539427,-0.05599268867911684,-0.3448427846192054,0.34909524663310243,31,31,Amplitude of processes in colliders
32,32,0.2983732844365269,1.153259283886022,-0.08864027203557787,-0.310898319624335,0.19541050259320103,-0.011605846942875446,-0.1864437640598993,0.2516797886102643,0.674770878865685,-0.5919295554712326,-0.5092431847998828,0.2156085391703481,0.19553941044905704,-0.0677483230453495,-0.22692764704879131,-0.19899762730606682,32,32,Early-universe and other cosmological data
