,article_id
561158,1652847
609576,1815631
437472,1251450
134577,459653
81583,296215
155892,466256
549811,1669587
128753,421101
462282,1335679
217871,585786
769236,681890
346144,820251
219745,585048
429647,1267185
333322,790366
398640,916924
167510,496361
576462,1751571
394723,926082
234657,615728
211494,583973
763336,604113
200649,555077
332274,782638
217036,584203
505011,1475013
562835,1663457
14270,183488
714589,454783
228544,626518
335822,806231
96883,335406
66809,267364
314691,750821
760094,758357
168395,508639
354397,837594
35455,15364
139573,449157
489402,1411499
527263,1621600
214483,595050
398852,955202
253671,646975
611906,1821987
119375,393162
91792,319566
309902,750651
252588,655016
484623,1396550
664884,1207600
35288,206189
187513,527437
1265,159454
234041,620093
42158,220408
593154,1800931
131373,417767
559174,1695846
96311,334457
4336,154634
616768,917448
334166,792187
201226,552944
78967,282422
400541,930364
111562,38713
466176,1282616
351562,831339
459323,1325796
199611,562843
347576,856929
55412,247145
11804,10700
447012,1263779
609898,1809463
87229,301337
154083,474966
102840,353993
743882,507158
86080,295822
672927,1220583
411701,1084065
169569,500349
55649,255445
638122,1411488
171030,509932
204470,552288
377181,859754
252932,651728
531723,1520708
712064,421925
548090,1669270
557259,1691728
774370,622310
470033,1328640
311723,756654
420023,1127356
707015,488048
535941,1609661
781901,1796405
60424,253931
171512,505013
271417,694874
542366,1709804
417626,1203641
96796,336956
491495,1345266
218754,595271
293688,731007
532741,1634244
719213,374925
29,9913
314992,745769
684958,881815
351666,828099
611911,1822053
457489,1283367
610357,1800428
446725,1240284
447369,1251086
613223,1831401
51297,239198
72614,25761
490090,1387764
87125,304640
44815,221027
548299,1658752
383562,921509
496731,1486023
689561,820583
200272,558597
270263,684315
419548,1208128
109374,379808
558311,1702644
538820,1642480
311043,765362
112103,37819
247737,657739
421591,1119144
139950,450295
411424,1117049
625023,772969
285241,719949
91353,30915
153864,476050
666413,1261024
755036,524279
125262,415897
347204,890560
596188,1776631
557457,1653668
202261,566016
4298,9712
522138,1591307
58891,249836
625414,760110
19366,180556
120839,396360
156378,477461
16737,181027
422960,1115521
171804,501905
583345,1761128
89336,316826
310605,770045
354001,839886
581935,1725460
567514,1770771
596093,1777142
468876,1299000
143104,442766
458955,1311284
526199,1604891
539176,1641308
619390,930354
792002,1635793
412545,1186014
475315,1409704
314907,745887
610379,1800390
34497,199375
375099,853080
375217,850134
216051,590932
576523,1749964
182994,538663
256652,642649
92042,315567
183850,531692
787690,1692193
667413,1262121
275938,676196
609444,1819278
723668,380274
459331,1334229
12348,171832
254211,643061
389733,895958
367535,851078
421763,1215935
97400,344332
684072,814621
794698,1198178
397788,895182
153943,476260
555449,1662696
67563,265672
330263,804323
373632,848773
293054,716196
491892,1383634
155794,466684
402641,1189723
487208,1399039
112501,371858
50962,17975
378208,844218
332192,782493
186174,538180
187079,531047
702024,476245
77152,282385
662645,1359222
78199,278510
490290,1384277
48178,237957
419094,1185443
614853,900454
128527,421690
201375,553681
275889,688990
742493,598416
434003,1264443
756104,556647
596445,1841551
513028,1471530
514100,1419263
656334,1373048
270911,699611
327024,802815
538114,1644660
58641,245711
616964,916097
351740,829523
529319,1589263
311403,758179
513530,1449997
151225,477365
354365,836639
237916,626425
218223,604330
111752,378022
218743,594725
184552,527900
169518,499510
52139,233480
450784,1318802
549396,1711231
55540,244802
171894,502227
395481,885692
332160,784368
139040,451130
541286,1711242
351316,832973
741553,251461
420849,1113766
92218,29193
86530,28124
626049,764743
97589,338772
97192,341376
153189,480857
431788,1266025
550843,1684490
347351,822120
141806,452918
103588,359211
35389,203282
550019,1658475
492564,1390994
492430,1394706
236605,623121
216822,586143
558116,1706977
19218,177000
273194,676103
60764,247605
573904,1737250
483501,1409904
168567,507754
218431,602085
445911,1231501
293318,709378
61568,249967
774933,657205
331273,793716
218653,600480
217721,599664
743953,507834
77934,283713
353566,829335
219331,588802
470719,1300420
373964,871379
30237,207556
39197,214233
747290,564901
13043,170321
154279,473495
1113,8762
182989,538551
708981,448628
492151,1404006
666938,1263538
459317,1325983
81525,296680
294988,709834
156394,478440
443729,1244344
412173,1097066
218134,604020
681948,860755
156461,477532
490829,1370714
274528,694677
153361,480234
157647,468709
608241,1790983
585690,1767719
688882,833555
252933,651431
352370,822145
172132,499254
267061,682506
156590,476868
154160,476359
254399,666639
438770,1246358
716927,395755
522078,1591674
85180,297729
271600,693379
86422,300848
660505,1333005
611297,1779473
586710,1742463
708712,448457
326759,805086
778755,1079662
131237,419015
153893,476729
427775,1247765
436631,1222329
42481,218136
215666,596065
515923,1424325
139439,451901
585034,1726514
168606,506537
558301,1702635
170593,514479
27400,200331
220360,582064
404631,1124545
418474,1108148
513783,1432715
549923,1664312
369848,844201
537216,1513148
217485,581809
370009,872418
216918,586068
68747,268004
702807,474282
421874,1208342
537556,1639459
393017,917641
120618,397064
255974,647865
153211,481128
489882,1391520
604371,1809910
237100,617347
581752,1756604
795075,1190201
573977,1734209
514549,1498097
265377,680549
583226,1775789
185990,532717
604063,1814098
274187,701259
120930,395180
465726,1295910
367715,878970
774788,650612
330850,799823
428263,1244944
583756,1772125
118232,400866
760113,758056
392352,940638
612617,1803027
612269,1806885
273014,678629
571574,1773286
26214,195024
198492,554320
374092,865359
154346,473614
215757,596057
76075,284917
265182,693083
514837,1488407
792079,1631649
284798,717949
559208,1695191
289800,731091
101747,353831
694120,785816
572131,1735218
54554,254273
332385,780854
43985,214564
312611,745742
235682,634980
251913,662839
621956,796314
275990,675869
183834,531523
781970,179696
370248,857002
202204,565549
170491,494375
563161,1651324
599111,1804525
416607,1091501
491187,1358013
182958,538788
187559,527005
619144,945502
559547,1687171
396570,926046
396763,924247
52912,232040
333303,776636
288047,717503
20428,182141
589798,1827500
514970,1484190
481154,1375145
219989,584236
534574,1637216
459277,1327482
538410,1608044
409800,1087892
486026,1359448
11692,167998
200305,558528
153421,465986
468298,1315845
416627,1094843
65479,271904
522036,1591960
748477,511025
501482,1414179
582283,1732988
58488,22281
253082,650672
372923,852299
255838,648898
233551,627387
183437,540271
558990,1699538
33729,208063
141068,442132
69543,23056
141112,441316
58573,251593
102333,35512
514812,1489351
398168,886467
443660,1250337
597388,1797266
790301,1615894
560292,1673730
354949,827782
271100,700427
310408,761065
74291,276727
557313,1681008
172701,494334
30792,204275
184286,528841
118030,402703
443523,1261926
36107,204156
128559,422145
92224,29127
63570,269376
368311,851950
743642,500794
89272,316626
69725,266007
52695,238972
163917,509037
36156,207047
195131,556817
45928,231072
26932,13242
84198,301225
351214,837813
234116,621006
155886,466585
753601,533547
46736,235862
527204,1623905
350619,812379
420536,1118603
237165,617230
492677,1387349
419758,1189562
275317,679731
558897,1701489
216925,585872
271540,696071
788554,1670016
15810,176651
743553,500706
524681,1599990
569737,1768022
295066,711150
662682,1357123
356408,812052
758415,721548
118626,398852
270248,684823
311574,758724
572325,1730036
305051,881368
510741,1424849
235760,633452
444643,1263083
367790,882545
118765,397402
543375,1682797
597934,1781958
325297,808322
429663,1266915
89284,317142
584349,1740664
489261,1380618
428924,1241802
653505,1397857
376768,891429
28489,193265
63808,263149
102671,34971
15408,182973
274334,698607
661549,1325797
396525,927266
529903,1648180
51233,232915
692735,712151
333721,803692
440412,1237670
436787,1263131
593676,1796744
421567,1089846
689178,832409
64151,271951
27870,191358
497594,1477754
325109,786188
568669,1735134
749742,587752
130571,423220
27474,189997
187002,530825
143614,440699
203335,559036
72409,282928
351841,828782
71990,277534
274666,692167
377002,860897
372859,857138
442809,1242445
57445,253064
10053,164170
400440,944716
612333,1804573
140527,444713
30884,14375
60623,250245
35203,207667
215508,600717
254200,668954
69813,267539
37457,16723
11393,11422
31910,201725
753552,534411
84240,297897
726300,341785
788275,1604906
468342,1315119
436560,1224803
33636,205577
27710,193278
201046,553956
599789,1780835
199120,567522
310945,766026
423412,1090952
168262,509002
791584,1642239
155751,466557
775520,654394
468711,1304705
328172,781508
609932,1808907
705652,418115
253409,648516
447155,1261797
549421,1710351
64095,260699
200972,554190
101648,35897
668268,1217426
680275,879426
51623,235793
290958,733021
537074,1515524
717318,301557
429095,1241340
304747,752128
561528,1703805
184099,529865
422482,1187642
461390,1297932
8070,166878
92769,319790
705692,418350
492488,1392839
526231,1602946
768231,612945
148995,478378
535911,1610321
661039,1333406
465970,1297089
683905,811824
140451,445194
792813,1631657
682043,860480
255079,658705
490994,1367191
562622,1670207
119804,392558
414147,1124598
427312,1251010
117953,403871
216002,592130
452160,1334469
669733,1283840
246080,651831
271831,691365
109239,381763
423639,1084565
275977,675476
103575,361103
273576,675141
414724,1112772
488132,1345831
172645,495234
503699,1467449
219301,589081
550158,1650889
684202,813603
214936,605033
21565,13942
397669,895996
797352,1180023
108932,375084
220347,582107
350036,836463
421509,1088860
711213,429178
27628,199041
482432,1382155
590242,1830551
246141,650220
68288,271752
283762,709956
334044,796984
605136,1797649
92652,318999
85145,28228
366378,876620
102657,356947
86967,295266
599009,1808519
171033,509538
493154,1370467
236917,618734
471220,1286348
569824,1725568
335529,842187
135132,454025
61066,21412
351453,833085
489719,1395128
3060,160341
154124,474679
591088,1816226
352803,817842
481645,1336620
467126,1301233
759579,757594
248921,650745
184229,528378
685360,884188
273713,681837
291995,718606
216785,585538
459822,1306288
742643,594926
93291,316919
76544,280712
491173,1358653
577866,1760206
773194,627844
626136,764104
482088,1393992
270293,679601
526321,1598765
4737,8953
110905,371898
439770,1247669
450582,1320720
485219,1410060
702244,471320
610201,1803532
538360,1599760
109995,38344
782803,1705657
131232,418781
91670,322849
5661,155897
13274,164414
582302,1731830
583277,1763115
351679,830484
147433,482550
331438,793195
411914,1121703
441061,1219106
451892,1308716
377252,856226
380545,945056
470325,1321558
228586,623926
454088,1291348
289847,725985
537190,1515078
75447,279540
272459,684826
314872,748865
784708,1782981
128032,425002
60484,252092
412730,1206606
480802,1410829
293415,735099
598601,1818923
766188,664501
394571,940734
274115,699961
769036,686050
627153,1181866
251036,662858
313461,742001
548625,1707472
27378,192524
47125,17990
251752,665185
794835,1199273
11513,167901
331972,785364
12124,10319
683730,816657
503656,1469237
220065,584803
499279,1454383
492114,1405107
489320,1408542
554701,1686401
140758,444173
290846,732264
682343,866118
520948,1605372
199292,564332
518788,1630817
142921,444668
332153,786456
536184,1604898
156396,478501
576228,1773561
466255,1278626
1271,155133
42683,213906
580809,1765767
120143,402135
474538,1389822
59537,244865
157033,471734
92256,314130
237768,637011
313305,881377
306505,746158
775469,658451
481985,1397176
5343,10024
164121,500335
219844,585776
274134,700407
89051,321515
153497,478810
655230,1300299
4266,9832
2320,153093
621669,797887
505057,1473343
423057,1116295
76703,278061
8232,164533
352098,825535
654461,1305103
572695,1722037
550743,1690929
141950,450914
583866,1750473
59122,249334
776792,192080
538244,1613915
419091,1188702
25751,190792
872,154187
61264,21165
59466,21447
254194,667814
101990,36215
574220,1725265
445657,1237108
200383,557033
719943,360684
393738,892806
254958,661265
40706,16118
467564,1323222
162,158008
141612,454303
531065,1605740
454823,1286741
346004,831215
744557,508081
130510,424315
399849,894856
60714,249342
143858,444696
195451,554708
84308,295965
396803,1082740
528849,1613338
34496,199430
490708,1374918
469091,1291971
471488,1277264
468170,1319512
142987,443326
41841,227666
723582,380454
503850,1454208
783781,1767711
411700,1085216
503846,1454398
599094,1805263
535287,1630920
446791,1266279
737110,272249
550044,1657392
626793,765006
154414,473247
446621,1223391
466573,1321735
141741,440434
550765,1687566
329534,804533
783100,1777434
514340,1414801
47292,238227
129391,416907
612572,1796975
236137,627637
638016,1414792
471231,1285969
275397,680866
514176,1416844
576801,1739786
566129,1755413
93068,29665
232171,619624
561978,1711267
488382,1365824
467590,1282057
50620,18716
59510,21358
84842,301436
74622,283911
455313,1282875
66534,266873
76531,25779
502992,1494077
42248,227644
744403,501072
439907,1254214
255979,649069
497535,1478157
32495,15153
476262,1372571
596002,1833618
709222,443299
493109,1372755
526258,1601386
4880,160184
414225,1123511
509775,1494058
72505,25982
332278,784379
374988,853381
81279,298890
171655,504509
650137,1430905
469669,1332206
546369,1653944
504164,1423296
447782,1268848
237291,615664
459775,1307418
304840,748660
677770,897693
609648,1838255
771698,636256
482934,1405985
95086,339316
514336,1414799
443847,1237116
701566,477966
268760,676544
515896,1425582
172577,495339
148886,467237
445571,1238824
562533,1673209
573926,1736504
453134,1303085
75316,286596
446854,1209895
274193,699746
293955,727743
742360,591235
378357,876723
331157,797125
448393,1220439
369366,879152
47200,236953
605820,1788159
569404,1728126
109537,380084
373970,871098
448292,1218041
537813,1642132
421968,1202582
443787,1239979
106914,381665
42844,16245
423568,1194393
35437,15351
759825,751951
59253,247720
17808,179462
479633,1357039
779809,1082825
553913,1692096
234620,614666
512499,1483171
304987,761092
716436,398270
415579,1123550
183605,533222
515956,1421955
481071,1371848
155244,466317
689970,821402
141606,463142
233289,628057
465553,1324795
267898,690714
236268,627085
427835,1247403
252193,659712
267181,674513
493649,1342034
418803,1089420
131501,416872
371226,848684
611112,1783270
586294,1751950
594322,1791695
183884,531144
446224,1267661
549461,1709211
77531,283756
161119,497866
515435,1467254
584459,1738306
507916,1475465
121437,392839
313935,765262
590345,1821390
374675,859883
355411,823049
89485,314128
14464,11675
92451,321885
125307,432170
774280,622065
199656,562499
102501,356684
665260,1205724
119442,393288
513327,1462523
368236,855556
289727,723234
489466,1402393
421861,1086837
68578,267362
752431,539415
538028,1623232
584412,1738977
128261,426392
419585,1190701
509852,1491937
533649,1614156
503994,1437924
612795,1790457
663991,1296267
390106,1086724
483637,1380476
42668,16808
372933,852676
368268,852535
446959,1264836
492922,1379990
536070,1607575
512294,1487919
515710,1441231
40331,216815
561895,1694219
557932,1658804
537501,1507675
385892,1082263
375045,881240
790643,1684478
69510,260882
516332,1496116
701698,477874
594009,1794916
448356,1519900
19336,180021
35578,206352
681268,874554
382156,926487
3585,9978
237124,617024
687930,830892
142682,446327
389816,891624
63964,263219
490062,1388374
527165,1625295
698743,400052
676878,1511683
1101,159808
769454,688644
294277,722544
511488,1497553
447000,1264146
50761,230446
255541,653095
514282,1415794
101965,361469
436573,1261488
130033,427639
481378,1353118
47013,230260
157912,498524
412724,1205881
527323,1617765
533576,1631661
390785,897774
289783,734060
15540,177920
378149,849445
562078,1686359
652876,1394051
30706,201499
184441,528455
568741,1734026
436891,1245587
599950,1837309
32076,205492
411939,1120143
51564,227367
23388,192713
18220,177635
78523,282472
110633,37303
153579,479830
531647,1590264
651677,1424882
12415,167253
291230,729932
367926,873315
96417,342760
20605,183756
416164,1117791
712737,423790
69208,23668
353211,815768
97381,339929
454635,1287880
57262,22169
437420,1247056
447612,1241474
400239,914067
544800,1672508
71462,280932
491672,1342472
779341,1082944
533707,1603096
475999,1374606
547899,1675311
611640,1831912
510448,1502926
332133,785501
667946,1216899
48375,231480
419627,1191915
273992,675036
552143,1689294
561482,1704705
416533,1107902
236838,621203
22729,14182
93107,316527
700751,402519
709085,444047
136238,448895
594456,1791659
