,topic,11.30.Pb,12.60.Jv,14.80.Da,14.80.Ly,14.80.Nb,topic_x,topic_y,description
64,64,0.0530143119834673,0.1900546721409956,0.02108674412289078,0.06299653278183232,0.003782921905379756,64,64,Higgs beyond the SM
65,65,0.022126235282372685,0.07641344976227289,0.008159763721220391,0.033750945688523694,0.002147877870945681,65,65,Junk(decay/search/data/limit/gamma/collider)
66,66,0.037792091755568635,0.03763854215737035,0.0015426673072315373,0.007649161304653348,0.00018794812942361151,66,66,Lattice calculation techniques
67,67,0.06120405028537154,0.041461544191807434,0.0020063590321564642,0.007463133131491412,0.00023675707236943267,67,67,Lie algebra
68,68,0.04181530849940565,0.039556568422386494,0.002147186961135942,0.009285791714905907,0.0003816686964803957,68,68,Boundary conditions
69,69,0.02491733453191483,0.025599384153609017,0.0010768139304614748,0.006410630461401183,0.00046224254541612933,69,69,Systems energy and time-evolution
70,70,0.012079535345925747,0.03222861825293899,0.002955198239271639,0.014900032917883619,0.0007360869509686728,70,70,Heavy quarks and ions 
71,71,0.03483707045100717,0.053304761678671486,0.0036385236341343738,0.013773236250275628,0.0007358418040713572,71,71,Phenomenological jargon 
72,72,0.052040912837453136,0.03200248673666473,0.0009822802047125471,0.003825899170005992,0.00018484750908076677,72,72,Quantum Field Theory
73,73,0.02619839786802471,0.0598378476980454,0.004243705473058655,0.019235295631764727,0.00082865028698306,73,73,Experimental jargon
74,74,0.035233900151605706,0.054603161311456504,0.002968739642244857,0.014403551099781451,0.0008374741271118543,74,74,Theoretical jargon
