,topic,Experiment-HEP,Phenomenology-HEP,Theory-HEP,topic_x,topic_y,description
27,27,0.04296604926327991,0.18411399807396872,0.812696729927524,27,27,Black-hole thermodynamics
28,28,0.37156505349083174,0.5596888333836249,0.1487882002828061,28,28,Lepton/Hadron decay
29,29,0.1982530030272165,0.5036919140410415,0.36868181079650764,29,29,Energy
30,30,0.22768117401487378,0.6202244720558825,0.24141827408424485,30,30,CP violation bis
31,31,0.19558918893653318,0.577414627201881,0.30737021068103937,31,31,Analysis of collider processes
32,32,0.18091152198736535,0.570932076886875,0.34583716975078155,32,32,Early-universe data
33,33,0.1843852186584511,0.6627759285649685,0.2595097650762575,33,33,Dark matter and WIMPs
34,34,0.1600048305447522,0.6466452789236121,0.2881795676935183,34,34,Higgs in the SM
35,35,0.11378780218041089,0.5547978451640656,0.3727918272997048,35,35,Perturbative QCD
36,36,0.13416790863726588,0.6189086441776473,0.3486224735260329,36,36,Dark-matter in the universe
37,37,0.13860709476597602,0.6085275761594013,0.3316909287581182,37,37,SUSY phenomenology
38,38,0.3924472184695128,0.4433947341262658,0.23263957383341435,38,38,Instruments
39,39,0.37648462401998023,0.5527090271861573,0.18217733114082954,39,39,Events in colliders
40,40,0.07178260832340598,0.482888920339639,0.46290322588582167,40,40,SU Gauge symmetry
41,41,0.4171638493002631,0.5153541643644832,0.15092316412081003,41,41,Decay measurements
42,42,0.04506446589892295,0.2680917372861312,0.7148142716161173,42,42,Supersymmetric gauge theories
43,43,0.06115496139312632,0.33638946985311485,0.661329418852982,43,43,Gravitons and extra-dimensions
44,44,0.16149883972014306,0.4396127364138271,0.33009952384620694,44,44,Statistical techniques
45,45,0.2513623660047469,0.6596331174671515,0.1817568621051003,45,45,Neutrino physics
46,46,0.05215416755134999,0.43462533012395677,0.6291418441094722,46,46,Inflation
47,47,0.4076479665637487,0.555993654772585,0.15165225900680093,47,47,Events in colliders
48,48,0.2261097367313873,0.6664300222645677,0.19349259614316333,48,48,Top quark
49,49,0.07422421535859157,0.40061077409926144,0.5225579688630432,49,49,States of matter
50,50,0.3469299756550107,0.49803163867194156,0.20882702103379155,50,50,Measurements and results from colliders
51,51,0.16261077323397566,0.6304824915121352,0.2800601803343738,51,51,Particles properties
52,52,0.14558547565711938,0.5291234625714836,0.3827728950747865,52,52,Stars physics
53,53,0.13728536902965746,0.5173582230209239,0.439258951256807,53,53,Cosmological sources
54,54,0.3036212890720213,0.5450738845561998,0.2293427177995294,54,54,Measurements and analysis of colliders data
55,55,0.07567332529453516,0.5071652368013856,0.4214114296350992,55,55,Thermodynamics
56,56,0.17065669806212144,0.6255930567903949,0.27185370235709777,56,56,Double-beta decay?
57,57,0.09345946431552257,0.594428532197701,0.26760868998537035,57,57,Chirality and hadronic matter 
58,58,0.05925240409577638,0.43641045989748245,0.5449480045941235,58,58,Models from gauge theories
59,59,0.346542971933572,0.610057834341267,0.14966851823564498,59,59,Colliders performance
60,60,0.05209543689441942,0.29514226800566,0.6847341152923782,60,60,Supersymmetric Models
61,61,0.23339474545819922,0.6366024143056193,0.20745832123377111,61,61,Scattering processes
62,62,0.034259876094945886,0.2201381375933593,0.7905511756579995,62,62,Space-time and gravity
63,63,0.11389417775498267,0.5280951156132552,0.4221320640406492,63,63,Electromagnetism
64,64,0.1824490462164137,0.667934766732395,0.2590586264583099,64,64,Higgs beyond the SM
65,65,0.37715858219053583,0.5358647981844605,0.1733848612765852,65,65,Junk(decay/search/data/limit/gamma/collider)
66,66,0.06473743714754426,0.3800083714442183,0.4857765049633793,66,66,Lattice calculation techniques
67,67,0.046079427797915094,0.25337640213626533,0.7236840154695466,67,67,Lie algebra
68,68,0.06802939679075097,0.33377582827651037,0.6283882505478081,68,68,Boundary conditions
69,69,0.09299689973022449,0.3837343953332785,0.5508411653145611,69,69,Systems energy and time-evolution
70,70,0.25501884406878206,0.6771773587155867,0.14335250949430195,70,70,Heavy quarks and ions 
71,71,0.12456061996974656,0.4975993525672114,0.4338577508068952,71,71,Phenomenological jargon 
72,72,0.03376625078256297,0.2521186418015811,0.7404604766319131,72,72,Quantum Field Theory
73,73,0.15805649176202244,0.5557989015717132,0.34640356333498057,73,73,Experimental jargon
74,74,0.10581485710471435,0.4478422143335174,0.4984670306613563,74,74,Theoretical jargon
