,topic,word,unithood,p,x
3607,36,sector,0.6931471805599453,0.017048345878720284,0.011817012879045727
3608,36,constraint,0.6931471805599453,0.015417298302054405,0.010686456849920643
3609,36,density,0.6931471805599453,0.015145457349717617,0.010498031060247668
3610,36,candidate,0.6931471805599453,0.01481536403298378,0.010269227808431928
3611,36,galaxy,0.6931471805599453,0.014038675464689732,0.009730868317145766
3612,36,universe,0.6931471805599453,0.013592078350484371,0.009421310786588115
3613,36,cold,0.6931471805599453,0.013300820253789425,0.009219426058048756
3614,36,scenario,0.6931471805599453,0.01168919075280428,0.00810232961333367
3700,37,mass,0.6931471805599453,0.0668155699968338,0.04631302396081102
3701,37,susy,0.6931471805599453,0.05354046821594238,0.03711142458973982
3702,37,parameter,0.6931471805599453,0.051633551716804504,0.03578965079479916
3703,37,soft,0.6931471805599453,0.03933636099100113,0.02726588771440065
3704,37,neutralino,0.6931471805599453,0.028774958103895187,0.0199452810804455
3705,37,space,0.6931471805599453,0.02699027583003044,0.018708233594120837
3706,37,scale,0.6931471805599453,0.026599112898111343,0.01843710011072155
3707,37,mssm,0.6931471805599453,0.024203239008784294,0.016776406879357317
3708,37,squark,0.6931471805599453,0.022760825231671333,0.01577660183655065
3709,37,region,0.6931471805599453,0.021000592038035393,0.014556501161253867
3710,37,scenario,0.6931471805599453,0.01970486342906952,0.013658370529178312
3711,37,constraint,0.6931471805599453,0.019167015329003334,0.013285562635047913
3712,37,gluino,0.6931471805599453,0.014741982333362103,0.010218363490234465
3713,37,gaugino,0.6931471805599453,0.014521952718496323,0.010065850583050559
3714,37,large,0.6931471805599453,0.014375266619026661,0.009964175526775827
3800,38,detector,0.6931471805599453,0.054641325026750565,0.03787448038435173
3801,38,experiment,0.6931471805599453,0.04326269403100014,0.029987414391015318
3802,38,physic,0.6931471805599453,0.03877606615424156,0.02687752092801846
3803,38,beam,0.6931471805599453,0.02354200929403305,0.016318077366875038
3804,38,high,0.6931471805599453,0.02011306770145893,0.013941316169677557
3805,38,crystal,0.6931471805599453,0.012982231564819813,0.00899859720653118
3806,38,nuclear,0.6931471805599453,0.011856310069561005,0.008218167896560699
3807,38,liquid,0.6931471805599453,0.01093510165810585,0.007579634883452453
3808,38,performance,0.6931471805599453,0.010730388574302197,0.007437738586590218
3809,38,precision,0.6931471805599453,0.010320963338017464,0.007153946638409367
3810,38,resolution,0.6931471805599453,0.009911537170410156,0.006870154044684898
3836,38,high energy,1.0986122886681098,0.006039050407707691,0.006634574989793828
3811,38,search,0.6931471805599453,0.00951917003840208,0.006598185873389108
3812,38,target,0.6931471805599453,0.009280338883399963,0.006432640731669516
3813,38,chamber,0.6931471805599453,0.008973268792033195,0.006219795963604355
3900,39,jet,0.6931471805599453,0.06253086775541306,0.04334309468263135
3901,39,event,0.6931471805599453,0.04447000101208687,0.030824255821025926
3902,39,lhc,0.6931471805599453,0.04137120768427849,0.028676335962717577
3903,39,tev,0.6931471805599453,0.039151180535554886,0.027137530403813278
3904,39,production,0.6931471805599453,0.03258359059691429,0.022585223954770684
3905,39,cm,0.6931471805599453,0.02483660914003849,0.017215425600087046
3906,39,pair,0.6931471805599453,0.017737139016389847,0.012294447900410423
3907,39,atlas,0.6931471805599453,0.017714012414216995,0.01227841776131838
3918,39,final state,1.0986122886681098,0.010776419192552567,0.01183910655277712
3908,39,final,0.6931471805599453,0.016372743993997574,0.011348721337469196
3909,39,collision,0.6931471805599453,0.01621086709201336,0.011236516819261059
3910,39,data,0.6931471805599453,0.014568970538675785,0.010098440852544027
3911,39,luminosity,0.6931471805599453,0.014476468786597252,0.010034323523893938
3912,39,channel,0.6931471805599453,0.014222091063857079,0.009858002322579327
3931,39,large hadron collider,1.3862943611198906,0.006798865739256144,0.009425229236342009
4000,40,su,0.6931471805599453,0.08094517141580582,0.05610691734680728
4001,40,symmetry,0.6931471805599453,0.08082020282745361,0.05602029572213239
4002,40,fermion,0.6931471805599453,0.07693071663379669,0.05332430933317226
4003,40,gauge,0.6931471805599453,0.04589288681745529,0.031810525105275815
4004,40,chiral,0.6931471805599453,0.028069958090782166,0.019456612309061483
4005,40,mass,0.6931471805599453,0.020868930965662003,0.014465240660148754
4006,40,model,0.6931471805599453,0.01901009865105152,0.01317679628214278
4007,40,breaking,0.6931471805599453,0.017713600769639015,0.01227813243103976
4008,40,coupling,0.6931471805599453,0.016635790467262268,0.011531051258768856
4009,40,boson,0.6931471805599453,0.01641710475087166,0.011379469871023973
4010,40,flavor,0.6931471805599453,0.01619841903448105,0.01122788848327909
4011,40,color,0.6931471805599453,0.015464257448911667,0.010719006450166255
4012,40,composite,0.6931471805599453,0.01324615441262722,0.009181534584374236
4013,40,quark,0.6931471805599453,0.013168051838874817,0.009127398005583282
4014,40,dirac,0.6931471805599453,0.013058708980679512,0.009051607311710841
4100,41,decay,0.6931471805599453,0.0823204442858696,0.05706018385919257
4103,41,state,0.6931471805599453,0.025504831224679947,0.01767860185404416
4104,41,$d$,0.6931471805599453,0.023549759760499,0.016323449580853935
4105,41,meson,0.6931471805599453,0.021017050370573997,0.01456790920804972
4106,41,stat,0.6931471805599453,0.018365852534770966,0.01273023890305622
4107,41,syst,0.6931471805599453,0.01792151853442192,0.012422250043487357
4108,41,$+/-$,0.6931471805599453,0.01681068167090416,0.011652276603477969
4109,41,$+-$,0.6931471805599453,0.016647757962346077,0.011539346494244563
4110,41,fraction,0.6931471805599453,0.01607012376189232,0.011138960976805043
4111,41,final,0.6931471805599453,0.01567022129893303,0.010861769712105833
4131,41,final state,1.0986122886681098,0.007509273011237383,0.00824977960910917
4115,41,width,0.6931471805599453,0.010975084267556667,0.0076073487164647164
4118,41,ratio,0.6931471805599453,0.010441882535815239,0.0072377614394384645
4120,41,$pi+$,0.6931471805599453,0.010145658627152443,0.0070324346723344006
4141,41,final states,1.0986122886681098,0.00633919145911932,0.00696431363720841
4200,42,theory,0.6931471805599453,0.12830352783203125,0.08893322857266693
4201,42,gauge,0.6931471805599453,0.04895395040512085,0.03393229270058091
4202,42,supersymmetric,0.6931471805599453,0.044784579426050186,0.03104230496172962
4203,42,yang-mills,0.6931471805599453,0.03309192880988121,0.022937577153859585
4204,42,supersymmetry,0.6931471805599453,0.030882293358445168,0.02140597457063139
4205,42,anomaly,0.6931471805599453,0.028422757983207703,0.019701154559798095
4206,42,supergravity,0.6931471805599453,0.019676286727190018,0.013638562668840833
4207,42,duality,0.6931471805599453,0.018742453306913376,0.01299127866646343
4209,42,chiral,0.6931471805599453,0.01665119081735611,0.011541725968016038
4210,42,$n=4$,0.6931471805599453,0.016217155382037163,0.011240875529761602
4211,42,super,0.6931471805599453,0.014546777121722698,0.010083057548156004
4212,42,$n=2$,0.6931471805599453,0.013783926144242287,0.00955428954392806
4220,42,super yang-mills,1.0986122886681098,0.007733735255897045,0.008496376589434302
4213,42,branch,0.6931471805599453,0.012218768708407879,0.008469405080147005
4214,42,su,0.6931471805599453,0.011455917730927467,0.00794063707591906
4300,43,gravity,0.6931471805599453,0.06270340085029602,0.043462685510902765
4301,43,dimension,0.6931471805599453,0.04475441202521324,0.03102139451289467
4302,43,scalar,0.6931471805599453,0.039991628378629684,0.027720084456648263
4303,43,extra,0.6931471805599453,0.03942088410258293,0.027324474670885727
4304,43,field,0.6931471805599453,0.031765010207891464,0.02201782726605785
4305,43,constant,0.6931471805599453,0.0302495788782835,0.02096741031260788
4306,43,brane,0.6931471805599453,0.02879319153726101,0.019957919533374946
