,bai,centrality,ph_ph_centrality,th_th_centrality,group
3043,Werner.Porod.1,0.003738393598712445,0.004095892438537598,0.0023978180695891998,ph
1863,M.M.Nojiri.1,0.003619356294711675,0.004635441007823782,0.0019470756542360318,ph
533,J.F.Gunion.1,0.0036012152593032946,0.003873796848905727,0.002525197146991386,ph
1674,J.L.Hewett.1,0.0035315297327120953,0.0033926449154671793,0.0029706511230589826,ph
3103,C.Grojean.1,0.0034818704225103836,0.004990509079957577,0.0017901277694397952,ph
2950,C.Balazs.1,0.003413640058720401,0.005527496061535634,0.0010058942381069719,ph
4270,D.Shih.1,0.003372317949886766,0.0008258442218125338,0.003074321141434654,ph
2605,Jonathan.L.Feng.1,0.003314551087171281,0.0028594534097452573,0.002507316293245385,ph
2604,G.Weiglein.1,0.003301168071320072,0.003043991708789947,0.002152235846270111,ph
2541,O.Aharony.1,0.003243233305221825,0.0006682220637982796,0.004491472875380903,th
3768,J.Giedt.1,0.0032135911267830437,0.0037393750847640587,0.0021399937816625474,ph
617,T.Inami.1,0.0031980154084198676,0.0011571005141045856,0.004342894265139673,th
4489,B.Fuks.1,0.0031825048822151573,0.0030436920405094267,0.002001859766181409,ph
337,B.de.Wit.1,0.0029931273070816166,0.0003275283215747709,0.006097224947080476,th
1450,C.Vafa.1,0.0029476714142584594,0.0001686758631633624,0.009689919157727241,th
115,A.Bartl.1,0.002912287214150049,0.0035387528144670906,0.0013514647953616777,ph
3447,G.Moreau.1,0.0028839150215296877,0.0030333248242863328,0.0018279544894334308,ph
9,K.A.Olive.1,0.0028483595091615237,0.002977056286734673,0.0016419514662003513,ph
2557,S.Kachru.1,0.002825579691112864,0.00029621938350768103,0.005455497694221648,th
2608,F.Sannino.1,0.002776216056864551,0.0019301910167027988,0.003295827818962593,ph
13,Rabindra.N.Mohapatra.1,0.0027535525651832078,0.002934873129649377,0.0020632938231864503,ph
457,D.Z.Freedman.1,0.002736176884945073,0.0003958423863654187,0.0033822915926662997,th
562,J.W.F.Valle.1,0.0027215261816657633,0.0043757671094199055,0.0005837578872308212,ph
1819,C.E.M.Wagner.1,0.0027171275203925426,0.003438586313259825,0.001265933825357409,ph
131,S.A.Raby.1,0.002716069631245553,0.0012175921820002757,0.0029169992776529995,ph
2894,T.M.P.Tait.1,0.002707674653749841,0.0027044481299522472,0.0017983280670943653,ph
3810,Osamu.Seto.1,0.0026553980278018843,0.0026045880342743712,0.0019835351742183574,ph
150,J.M.Gerard.1,0.002631387238310924,0.001136065636584564,0.0034511200383226777,ph
2480,Stefano.Moretti.1,0.002610015649253708,0.0029834344693349018,0.0015028822729117204,ph
3013,J.L.Boldo.1,0.002590424990458758,0.0024859357014066306,0.002714017138254674,th
5013,T.Wrase.1,0.0025364185814293343,0.001079480854932215,0.0044618922577188275,th
218,R.M.Godbole.1,0.0025126246427204834,0.004329704975597706,0.0005211267397545117,ph
2587,N.Haba.1,0.0024166433878289166,0.003078524042271236,0.0015744281853486935,ph
604,S.Rajpoot.1,0.002402217258623484,0.0003585462006788505,0.003972293646993411,th
3375,L.A.Pando.Zayas.1,0.0023853374524518654,1.8196127698836003e-05,0.005399275314717715,th
551,W.Buchmuller.1,0.0023488955461152057,0.0020333449138648643,0.0015059915935760825,ph
357,S.J.Gates.1,0.0023194142948797375,0.001109764112197014,0.0035590995581351943,th
