ngram,count,unithood,len
constant,9845,0.05249256917394355,8
background,9801,0.052257965512830955,10
gev,9654,0.05147417600865932,3
boson,9636,0.05137820178365871,5
paper,9581,0.05108494720726797,5
group,9579,0.05107428340449012,5
distribution,9574,0.05104762389754551,12
lattice,9548,0.05090899446143352,7
time,9374,0.04998124361976098,4
higgs,9365,0.04993325650726067,5
supersymmetric,9319,0.049687989043370226,14
recent,9285,0.049506704396146864,6
collision,9269,0.0494213939739241,9
su,9260,0.049373406861423795,2
neutrino,9100,0.04852030263919617,8
constraint,9056,0.048285698978083574,10
small,8987,0.04791779778224791,5
chiral,8975,0.04785381496558084,6
current,8961,0.04777916834613592,7
light,8953,0.04773651313502454,5
high,8935,0.04764053891002393,4
region,8912,0.04751790517807872,6
condition,8876,0.04732595672807749,9
fermion,8870,0.047293965319743954,7
meson,8854,0.0472086548975212,5
prediction,8795,0.04689407271557476,10
due,8566,0.04567306729751147,3
action,8459,0.04510255384889675,6
point,8450,0.04505456673639644,5
framework,8398,0.044777307864172465,9
present,8379,0.04467600173778294,7
gravity,8303,0.04427077723222481,7
string,8294,0.04422279011972451,6
section,8269,0.04408949258500144,7
finite,8233,0.04389754413500022,6
heavy,8206,0.043753582797499316,5
density,8172,0.04357229815027595,7
relation,8122,0.04330570308082981,8
transition,8090,0.043135082236384285,10
charge,8060,0.04297512519471661,6
problem,8047,0.04290581047666061,7
matrix,8026,0.04279384054749323,6
cross,8025,0.04278850864610432,5
type,7990,0.04260189209749202,4
vacuum,7990,0.04260189209749202,6
level,7856,0.041887417311376386,5
ratio,7781,0.041487524707207186,5
range,7737,0.04125292104609459,5
dark matter,4800,0.04056414604313021,11
lhc,7575,0.04038915302108912,3
hadron,7498,0.039978596614142076,6
bound,7429,0.03961069541830641,5
strong,7408,0.03949872548913904,6
amplitude,7324,0.039050845772469533,9
factor,7276,0.03879491450580125,6
collider,7276,0.03879491450580125,8
vector,7239,0.03859763415441111,6
example,7191,0.03834170288774282,7
temperature,7178,0.038272388169686825,11
detector,7174,0.038251060564131134,8
invariant,7169,0.038224401057186524,9
same,7130,0.03801645690301853,4
sector,7116,0.03794181028357362,6
simple,7082,0.037760525636350246,6
consistent,7033,0.03749926246829304,10
class,6904,0.036811447189122014,5
low,6897,0.03677412387939955,3
event,6833,0.03643288219050851,5
pair,6815,0.0363369079655079,4
expansion,6695,0.035697079798837184,9
black hole,4153,0.035096437191066615,10
dependence,6580,0.03508391113911108,10
various,6520,0.034763997055775715,7
mechanism,6520,0.034763997055775715,9
mode,6520,0.034763997055775715,4
spin,6460,0.03444408297244036,4
lepton,6451,0.03439609585994005,6
scattering,6385,0.03404419036827116,10
search,6384,0.03403885846688224,6
physical,6382,0.03402819466410439,8
dark,6377,0.03400153515715978,4
perturbation,6275,0.033457681215489664,12
loop,6219,0.03315909473771,4
way,6217,0.03314843093493215,3
work,6216,0.03314309903354323,4
scenario,6197,0.0330417929071537,8
presence,6135,0.0327112150210405,8
scalar field,3835,0.032409062515709235,12
black,6035,0.03217802488214823,5
tev,6027,0.03213536967103685,3
description,6002,0.03200207213631378,11
magnetic,5899,0.031452886293254746,8
corresponding,5888,0.0313942353779766,13
theoretical,5873,0.03131425685714276,11
dynamic,5857,0.031228946434919996,7
cosmological,5802,0.03093569185852925,12
