ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
double beta decay,629,0.010652729254711515,158484311.0951622,629,0.010652729254711515,158484311.0951622
upper limit,790,0.010602940663952194,198924488.1010198,790,0.010602940663952194,198924488.1010198
dark matter particle,618,0.010466433512578246,155719158.32788026,618,0.010466433512578246,155719158.32788026
sterile neutrino,776,0.010415040449654306,195410480.2240374,776,0.010415040449654306,195410480.2240374
theoretical uncertainty,762,0.010227140235356418,191895722.0780424,762,0.010227140235356418,191895722.0780424
lower bound,759,0.010186875903721157,191141462.11138302,759,0.010186875903721157,191141462.11138302
supersymmetric particle,729,0.009784232587368541,183607838.19384506,729,0.009784232587368541,183607838.19384506
wide range,726,0.009743968255733282,182855668.0605233,726,0.009743968255733282,182855668.0605233
higgs doublet,722,0.0096902824802196,181849292.55712408,722,0.0096902824802196,181849292.55712408
dipole moment,721,0.009676861036341178,181599538.2733083,721,0.009676861036341178,181599538.2733083
yukawa coupling,717,0.009623175260827496,180594594.12363166,717,0.009623175260827496,180594594.12363166
strong interaction,697,0.009354746383259087,175572368.0546545,697,0.009354746383259087,175572368.0546545
double beta,694,0.009314482051623826,174816889.11590487,694,0.009314482051623826,174816889.11590487
pseudoscalar meson,693,0.009301060607745404,174567804.10337454,693,0.009301060607745404,174567804.10337454
strange quark,687,0.00922053194447488,173060092.39127836,687,0.00922053194447488,173060092.39127836
angular distribution,674,0.009046053174055414,169794718.0575396,674,0.009046053174055414,169794718.0575396
qcd sum,674,0.009046053174055414,169794327.04954797,674,0.009046053174055414,169794327.04954797
differential cross,670,0.008992367398541732,168788175.06672773,670,0.008992367398541732,168788175.06672773
recent result,664,0.00891183873527121,167281534.04816908,664,0.00891183873527121,167281534.04816908
initial condition,662,0.00888499584751437,166779726.09422174,662,0.00888499584751437,166779726.09422174
chemical potential,657,0.008817888628122267,165522518.25898084,657,0.008817888628122267,165522518.25898084
free parameter,648,0.008697095633216483,163260594.05567816,648,0.008697095633216483,163260594.05567816
important role,639,0.008576302638310697,160999080.04412413,639,0.008576302638310697,160999080.04412413
supersymmetric extension,638,0.008562881194432277,160746156.14825264,638,0.008562881194432277,160746156.14825264
effective potential,635,0.008522616862797015,159993044.15814975,635,0.008522616862797015,159993044.15814975
experimental constraint,633,0.008495773975040175,159489334.13115406,633,0.008495773975040175,159489334.13115406
radiative decay,630,0.008455509643404914,158738158.05841783,630,0.008455509643404914,158738158.05841783
electroweak scale,629,0.008442088199526493,158484070.12987942,629,0.008442088199526493,158484070.12987942
electromagnetic form factor,497,0.008417180349112279,125291981.02722132,497,0.008417180349112279,125291981.02722132
cosmic microwave background,494,0.00836637241943957,124536487.06984077,494,0.00836637241943957,124536487.06984077
