ngram,count,unithood
dark matter search,277,0.004153679737262812
cern lhc,349,0.004147321104015948
dimensional regularization,348,0.0041354376624571625
heavy quarkonium,348,0.0041354376624571625
tev scale,346,0.004111670779339592
light meson,346,0.004111670779339592
one-loop correction,346,0.004111670779339592
higgs potential,346,0.004111670779339592
heavy higgs,345,0.004099787337780807
neutral gauge boson,273,0.004093698802428692
first order phase,272,0.004078703568720162
heavy neutrino,343,0.004076020454663238
lattice qcd,341,0.004052253571545668
nucleus-nucleus collision,339,0.004028486688428098
cp-violating phase,339,0.004028486688428098
fixed point,338,0.004016603246869313
global symmetry,337,0.004004719805310528
heavy flavor,337,0.004004719805310528
lower limit,334,0.003969069480634173
critical point,334,0.003969069480634173
electroweak baryogenesis,333,0.003957186039075388
shear viscosity,333,0.003957186039075388
dark energy,331,0.003933419155957818
complete set,331,0.003933419155957818
systematic uncertainty,330,0.003921535714399033
dark matter relic density,225,0.003917008624189256
global analysis,326,0.0038740019481638935
effective operator,325,0.0038621185066051084
soft supersymmetry,323,0.0038383516234875388
analytical expression,323,0.0038383516234875388
neutron star,319,0.003790817857252399
near future,319,0.003790817857252399
higher energy,319,0.003790817857252399
phenomenological consequence,318,0.003778934415693614
baryon number,317,0.0037670509741348293
hadronic decay,315,0.003743284091017259
nuclear modification,315,0.003743284091017259
mean field,315,0.003743284091017259
dyson-schwinger equation,315,0.003743284091017259
boson mass,313,0.0037195172078996887
excellent agreement,312,0.003707633766340904
chiral symmetry restoration,247,0.003703822726006912
strong constraint,311,0.003695750324782119
perturbative expansion,311,0.003695750324782119
low temperature,311,0.003695750324782119
large momentum,309,0.0036719834416645493
different model,309,0.0036719834416645493
hadronic matter,308,0.0036601000001057643
hadronic matrix element,244,0.0036588370248813217
generalized parton,307,0.003648216558546979
numerical calculation,304,0.0036125662338706245
linear sigma,302,0.003588799350753055
heavy quark mass,239,0.0035838608563386713
previous analysis,301,0.0035769159091942697
stringent constraint,300,0.0035650324676354847
virtual compton,299,0.0035531490260767
low scale,299,0.0035531490260767
effective coupling,298,0.003541265584517915
intermediate state,297,0.00352938214295913
light quark mass,235,0.003523879921504551
present work,296,0.0035174987014003453
dominant contribution,296,0.0035174987014003453
high scale,295,0.0035056152598415603
susy model,294,0.0034937318182827752
special emphasis,293,0.0034818483767239906
new physic effect,232,0.0034788942203789618
crucial role,292,0.0034699649351652056
single spin asymmetry,230,0.0034489037529619017
spectral index,290,0.003446198052047635
decay constant,289,0.00343431461048885
top quark pair,227,0.0034039180518363114
first-order phase transition,227,0.0034039180518363114
neutral gauge,286,0.0033986642858124952
phenomenological analysis,286,0.0033986642858124952
systematic error,286,0.0033986642858124952
spontaneous symmetry,285,0.0033867808442537106
e+ e-,285,0.0033867808442537106
monte carlo,284,0.0033748974026949255
electroweak gauge,284,0.0033748974026949255
fine tuning,284,0.0033748974026949255
scalar particle,283,0.0033630139611361405
large mass,283,0.0033630139611361405
phenomenological model,282,0.0033511305195773554
large transverse momentum,223,0.0033439371170021913
see-saw mechanism,281,0.003339247078018571
dark matter density,222,0.0033289418832936615
nuclear modification factor,222,0.0033289418832936615
other model,278,0.003303596753342216
qcd factorization,277,0.003291713311783431
few percent,276,0.003279829870224646
higher twist,276,0.003279829870224646
fourth generation,276,0.003279829870224646
new data,276,0.003279829870224646
composite higgs model,218,0.003268960948459542
precise measurement,275,0.0032679464286658614
preliminary result,275,0.0032679464286658614
minimal model,275,0.0032679464286658614
massive neutrino,275,0.0032679464286658614
recent work,275,0.0032679464286658614
lepton number,275,0.0032679464286658614
milky way,274,0.0032560629871070763
lightest higgs,274,0.0032560629871070763
strange quark mass,217,0.0032539657147510116
large scale,273,0.0032441795455482913
higher order correction,216,0.0032389704810424818
differential distribution,272,0.0032322961039895066
cosmological constant,272,0.0032322961039895066
gauge field,272,0.0032322961039895066
light neutrino mass,215,0.0032239752473339515
rhic energy,271,0.0032204126624307216
neutrino mass hierarchy,214,0.0032089800136254217
lagrangian approach,269,0.0031966457793131515
electric field,268,0.003184762337754367
electroweak interaction,268,0.003184762337754367
minimal supergravity,268,0.003184762337754367
anomalous coupling,267,0.0031728788961955814
elementary particle,266,0.0031609954546367963
new approach,266,0.0031609954546367963
flavour violation,265,0.0031491120130780112
thermal equilibrium,263,0.0031253451299604416
heavy ion collider,207,0.0031040133776657113
lightest higgs boson,207,0.0031040133776657113
partial width,261,0.0031015782468428715
allowed region,261,0.0031015782468428715
large transverse,260,0.003089694805284087
present data,259,0.003077811363725302
neutrino oscillation experiment,205,0.0030740229102486512
previous calculation,258,0.0030659279221665167
top mass,258,0.0030659279221665167
light higgs boson,204,0.003059027676540121
theoretical model,257,0.003054044480607732
green function,257,0.003054044480607732
low mass,256,0.003042161039048947
gauge theory,256,0.003042161039048947
free energy,255,0.003030277597490162
lattice simulation,254,0.0030183941559313774
heavy majorana,254,0.0030183941559313774
experimental search,251,0.0029827438312550222
parameter space,251,0.0029827438312550222
hadronic matrix,250,0.0029708603896962376
strong decay,249,0.0029589769481374525
lattice calculation,249,0.0029589769481374525
spontaneous symmetry breaking,197,0.0029540610405804114
qcd phase diagram,197,0.0029540610405804114
relativistic quark model,196,0.002939065806871881
theoretical framework,247,0.002935210065019883
single spin,246,0.002923326623461098
heavy particle,245,0.0029114431819023128
particular emphasis,245,0.0029114431819023128
differential equation,245,0.0029114431819023128
new mechanism,244,0.0028995597403435273
new physic contribution,193,0.0028940801057462913
jona-lasinio model,243,0.0028876762987847422
cp asymmetry,242,0.0028757928572259576
hard process,241,0.0028639094156671725
electroweak correction,241,0.0028639094156671725
decay rate,241,0.0028639094156671725
good fit,241,0.0028639094156671725
finite volume,241,0.0028639094156671725
cp-even higgs,240,0.0028520259741083875
small mass,240,0.0028520259741083875
majorana mass,240,0.0028520259741083875
special case,239,0.002840142532549603
long distance,238,0.002828259090990818
weak coupling,238,0.002828259090990818
heavy quarkonia,238,0.002828259090990818
direct cp violation,188,0.0028191039372036414
heavy quark symmetry,188,0.0028191039372036414
new contribution,237,0.0028163756494320328
hard scattering,237,0.0028163756494320328
pp collision,237,0.0028163756494320328
inclusive cross section,187,0.0028041087034951116
effective hamiltonian,235,0.002792608766314463
cosmological constraint,235,0.002792608766314463
first-order phase,235,0.002792608766314463
reasonable agreement,235,0.002792608766314463
large momentum transfer,186,0.0027891134697865813
relativistic quark,234,0.002780725324755678
lorentz invariance,234,0.002780725324755678
heavy quark limit,185,0.0027741182360780515
new gauge,233,0.002768841883196893
different value,233,0.002768841883196893
dark matter direct detection,159,0.002768019427760408
new physic model,184,0.0027591230023695213
theoretical result,232,0.0027569584416381084
real part,232,0.0027569584416381084
higgs coupling,231,0.0027450750000793233
cosmic string,230,0.0027331915585205382
qcd calculation,230,0.0027331915585205382
e- collider,230,0.0027331915585205382
external field,230,0.0027331915585205382
neutrino mass generation,182,0.0027291325349524612
schwinger-dyson equation,229,0.0027213081169617536
numerical solution,229,0.0027213081169617536
dynamical quark,228,0.0027094246754029686
low-energy constant,228,0.0027094246754029686
au+au collision,228,0.0027094246754029686
constituent quark,226,0.0026856577922853985
virtual compton scattering,179,0.002684146833826871
top quark decay,179,0.002684146833826871
dark matter abundance,179,0.002684146833826871
two-higgs-doublet model,225,0.0026737743507266134
tau lepton,225,0.0026737743507266134
arbitrary number,225,0.0026737743507266134
large n,225,0.0026737743507266134
top quark production,178,0.002669151600118341
central value,224,0.002661890909167829
numerical value,224,0.002661890909167829
d^ *,223,0.0026500074676090437
high luminosity,222,0.0026381240260502587
b \to,222,0.0026381240260502587
exclusive process,222,0.0026381240260502587
analytical result,222,0.0026381240260502587
latter case,221,0.0026262405844914736
finite density,221,0.0026262405844914736
effective interaction,221,0.0026262405844914736
chiral expansion,221,0.0026262405844914736
effective model,220,0.002614357142932689
electron-positron annihilation,220,0.002614357142932689
observed baryon asymmetry,174,0.002609170665284221
gauge invariance,219,0.002602473701373904
analytic result,219,0.002602473701373904
brief review,219,0.002602473701373904
systematic study,219,0.002602473701373904
angular correlation,219,0.002602473701373904
perturbative qcd approach,173,0.002594175431575691
one-loop contribution,218,0.002590590259815119
