ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
other hand,855,0.010875963999852186,154040976.04008594,855,0.010875963999852186,154040976.04008594
extra dimension,850,0.010812361871198078,153144926.05354655,850,0.010812361871198078,153144926.05354655
effective theory,845,0.010748759742543973,152248062.04860887,845,0.010748759742543973,152248062.04860887
superconformal field theory,625,0.010032118839588862,112746920.07028016,625,0.010032118839588862,112746920.07028016
super yang-mills theory,610,0.009791347987438729,110050160.0630066,610,0.009791347987438729,110050160.0630066
electromagnetic field,756,0.00961664185250088,136279674.06864694,756,0.00961664185250088,136279674.06864694
anomalous dimension,750,0.009540319298115952,135202522.0962213,750,0.009540319298115952,135202522.0962213
large class,741,0.00942583546653856,133586874.03593627,741,0.00942583546653856,133586874.03593627
standard model,732,0.00931135163496117,131971660.0447984,732,0.00931135163496117,131971660.0447984
\cal n,730,0.009285910783499527,131611536.06746325,730,0.009285910783499527,131611536.06746325
previous work,729,0.009273190357768706,131432270.03175342,729,0.009273190357768706,131432270.03175342
ads/cft correspondence,717,0.00912054524899885,129276718.1014434,717,0.00912054524899885,129276718.1014434
massive gravity,702,0.00892973886303653,126583034.07294515,702,0.00892973886303653,126583034.07294515
higher dimension,673,0.008560846516842715,121373268.04675643,673,0.008560846516842715,121373268.04675643
heterotic string,670,0.00852268523965025,120835316.04841612,670,0.00852268523965025,120835316.04841612
open string,665,0.008459083110996145,119936736.06848203,665,0.008459083110996145,119936736.06848203
supersymmetric theory,628,0.007988427358955757,113286526.04142678,628,0.007988427358955757,113286526.04142678
classical solution,626,0.007962986507494114,112926872.0333563,626,0.007962986507494114,112926872.0333563
explicit expression,624,0.007937545656032472,112567608.02514727,624,0.007937545656032472,112567608.02514727
second order,612,0.007784900547262617,110409522.05840887,612,0.007784900547262617,110409522.05840887
gravitational field,608,0.007734018844339332,109690276.04999618,608,0.007734018844339332,109690276.04999618
first order,605,0.007695857567146867,109150910.05433631,605,0.007695857567146867,109150910.05433631
space-time dimension,596,0.007581373735569477,107532872.02981246,596,0.007581373735569477,107532872.02981246
black hole entropy,471,0.007560204757514165,85038088.08493707,471,0.007560204757514165,85038088.08493707
entanglement entropy,591,0.00751777160691537,106633160.1288412,591,0.00751777160691537,106633160.1288412
new class,568,0.007225201815106481,102496770.03459115,568,0.007225201815106481,102496770.03459115
flat space,563,0.007161599686452375,101597280.0368008,563,0.007161599686452375,101597280.0368008
critical exponent,558,0.0070979975577982685,100697524.11640452,558,0.0070979975577982685,100697524.11640452
recent work,554,0.007047115854874984,99978564.02138852,554,0.007047115854874984,99978564.02138852
global symmetry,550,0.006996234151951698,99258638.03159848,550,0.006996234151951698,99258638.03159848
infinite number,550,0.006996234151951698,99258566.03340192,550,0.006996234151951698,99258566.03340192
n limit,549,0.006983513726220877,99078628.05066887,549,0.006983513726220877,99078628.05066887
scalar potential,549,0.006983513726220877,99078694.03608355,549,0.006983513726220877,99078694.03608355
initial condition,548,0.006970793300490056,98898900.0448706,548,0.006970793300490056,98898900.0448706
strong coupling,548,0.006970793300490056,98898468.08934066,548,0.006970793300490056,98898468.08934066
explicit example,545,0.0069326320232975915,98358958.02724864,545,0.0069326320232975915,98358958.02724864
cosmological model,533,0.0067799869145277365,96199772.06527397,533,0.0067799869145277365,96199772.06527397
anti-de sitter space,416,0.006677378299630346,75130956.04272732,416,0.006677378299630346,75130956.04272732
kinetic term,524,0.006665503082950345,94579908.03632319,524,0.006665503082950345,94579908.03632319
hilbert space,516,0.006563739677103775,93140486.03155091,516,0.006563739677103775,93140486.03155091
spacetime dimension,515,0.0065510192513729545,92959824.03501585,515,0.0065510192513729545,92959824.03501585
dark energy,512,0.00651285797418049,92419970.15875125,512,0.00651285797418049,92419970.15875125
electric field,512,0.00651285797418049,92420234.05254807,512,0.00651285797418049,92420234.05254807
critical value,510,0.006487417122718848,92059746.04744925,510,0.006487417122718848,92059746.04744925
two-point function,508,0.006461976271257205,91700028.0393793,508,0.006461976271257205,91700028.0393793
conformal symmetry,508,0.006461976271257205,91699720.05140895,508,0.006461976271257205,91699720.05140895
nonlinear sigma model,401,0.006436607447480214,72428590.03273912,401,0.006436607447480214,72428590.03273912
minimal model,500,0.006360212865410635,90260266.05524896,500,0.006360212865410635,90260266.05524896
heterotic string theory,386,0.006195836595330081,69724822.04400064,386,0.006195836595330081,69724822.04400064
low energy,485,0.006169406479448316,87559408.03883955,485,0.006169406479448316,87559408.03883955
conformal invariance,483,0.0061439656279866734,87199160.04601,483,0.0061439656279866734,87199160.04601
energy-momentum tensor,481,0.006118524776525031,86838798.05463736,481,0.006118524776525031,86838798.05463736
arbitrary number,471,0.0059913205192168185,85038694.0278675,471,0.0059913205192168185,85038694.0278675
recent result,471,0.0059913205192168185,85038906.02008037,471,0.0059913205192168185,85038906.02008037
black hole horizon,369,0.005922962962893264,66659944.05486351,369,0.005922962962893264,66659944.05486351
arbitrary dimension,463,0.005889557113370248,83597780.03500143,463,0.005889557113370248,83597780.03500143
hole solution,459,0.005838675410446963,82876282.14002123,459,0.005838675410446963,82876282.14002123
previous result,459,0.005838675410446963,82877626.02173436,459,0.005838675410446963,82877626.02173436
green function,458,0.0058259549847161415,82697638.0300811,458,0.0058259549847161415,82697638.0300811
spatial dimension,457,0.00581323455898532,82517220.03447157,457,0.00581323455898532,82517220.03447157
electric charge,454,0.005775073281792857,81976472.08464696,454,0.005775073281792857,81976472.08464696
einstein gravity,446,0.0056733098759462865,80535492.05315942,446,0.0056733098759462865,80535492.05315942
irreducible representation,440,0.005596987321561359,79455938.02286687,440,0.005596987321561359,79455938.02286687
minkowski space,437,0.005558826044368895,78915086.02406517,437,0.005558826044368895,78915086.02406517
calabi-yau manifold,435,0.005533385192907253,78554948.04455468,435,0.005533385192907253,78554948.04455468
topological field theory,342,0.005489575429023025,61792172.026742235,342,0.005489575429023025,61792172.026742235
integrable system,431,0.005482503489983967,77834308.03939337,431,0.005482503489983967,77834308.03939337
particular case,430,0.005469783064253146,77653794.0230429,430,0.005469783064253146,77653794.0230429
auxiliary field,424,0.005393460509868218,76573144.02790013,424,0.005393460509868218,76573144.02790013
upper bound,422,0.005368019658406576,76212340.03370516,422,0.005368019658406576,76212340.03370516
early universe,419,0.005329858381214112,75671832.04705568,419,0.005329858381214112,75671832.04705568
gravitational wave,417,0.00530441752975247,75311782.03294715,417,0.00530441752975247,75311782.03294715
large number,412,0.005240815401098363,74410508.02409305,412,0.005240815401098363,74410508.02409305
important role,411,0.005228094975367542,74230542.01767072,411,0.005228094975367542,74230542.01767072
critical temperature,410,0.005215374549636721,74049948.06871693,410,0.005215374549636721,74049948.06871693
quantum fluctuation,410,0.005215374549636721,74050188.02907671,410,0.005215374549636721,74050188.02907671
general solution,409,0.0052026541239058996,73869826.03200568,409,0.0052026541239058996,73869826.03200568
explicit form,408,0.005189933698175078,73689884.01948014,408,0.005189933698175078,73689884.01948014
first law,402,0.0051136111437901505,72607426.19911622,402,0.0051136111437901505,72607426.19911622
such theory,395,0.005024568163674401,71346808.02782166,395,0.005024568163674401,71346808.02782166
numerical result,395,0.005024568163674401,71346824.0337285,395,0.005024568163674401,71346824.0337285
dirac equation,395,0.005024568163674401,71347456.027613,395,0.005024568163674401,71347456.027613
chiral symmetry,394,0.00501184773794358,71166780.11694668,394,0.00501184773794358,71166780.11694668
quantum correction,394,0.00501184773794358,71166464.03431238,394,0.00501184773794358,71166464.03431238
boundary state,385,0.004897363906366189,69544832.03078985,385,0.004897363906366189,69544832.03078985
yang-mills theory,384,0.004884643480635368,69364652.01905286,384,0.004884643480635368,69364652.01905286
noncommutative geometry,383,0.004871923054904546,69184522.03362446,383,0.004871923054904546,69184522.03362446
bosonic string,383,0.004871923054904546,69184568.02420561,383,0.004871923054904546,69184568.02420561
non-linear sigma model,303,0.00486357121343268,54757426.02580004,303,0.00486357121343268,54757426.02580004
