ngram,count,unithood
inclusive cross section,236,0.003173190588288354
top mass,297,0.0031646785227823497
flavour violation,297,0.0031646785227823497
heavy ion collider,235,0.0031597448654566234
pp collision,296,0.0031540230395406587
dark matter direct detection,202,0.0031532201615053707
lightest higgs,295,0.003143367556298967
allowed region,294,0.0031327120730572757
heavy particle,293,0.003122056589815584
massive neutrino,293,0.003122056589815584
fine tuning,293,0.003122056589815584
strange quark mass,232,0.0031194076969614333
invariant mass spectrum,232,0.0031194076969614333
previous calculation,291,0.0031007456233322016
hadronic matrix,290,0.0030900901400905097
theoretical framework,289,0.003079434656848818
higher twist,289,0.003079434656848818
electroweak correction,288,0.0030687791736071267
see-saw mechanism,288,0.0030687791736071267
decay mode,288,0.0030687791736071267
large scale,288,0.0030687791736071267
subsequent decay,287,0.0030581236903654352
new gauge,285,0.0030368127238820527
gauge field,284,0.003026157240640361
heavy majorana,284,0.003026157240640361
relativistic quark model,225,0.0030252876371393207
rhic energy,283,0.0030155017573986697
elementary particle,282,0.0030048462741569786
cp-even higgs,281,0.002994190790915287
lightest higgs boson,222,0.0029849504686441297
minimal supergravity,280,0.0029835353076735956
tau lepton,279,0.002972879824431904
direct cp violation,221,0.002971504745812399
simplified model,278,0.002962224341190213
cosmological constant,278,0.002962224341190213
two-higgs-doublet model,276,0.00294091337470683
pair production,275,0.0029302578914651386
central value,275,0.0029302578914651386
decay rate,274,0.0029196024082234475
reasonable agreement,272,0.0028982914417400646
theoretical result,270,0.002876980475256682
gauge theory,270,0.002876980475256682
particular emphasis,269,0.0028663249920149905
heavy quark symmetry,213,0.002863938963158557
b \to,268,0.002855669508773299
thermal equilibrium,268,0.002855669508773299
green function,268,0.002855669508773299
single spin,267,0.002845014025531607
small mass,267,0.002845014025531607
good fit,266,0.0028343585422899156
lattice calculation,265,0.002823703059048224
kinematic region,265,0.002823703059048224
relativistic quark,265,0.002823703059048224
lattice simulation,264,0.002813047575806533
au+au collision,264,0.002813047575806533
qcd phase diagram,209,0.0028101560718316355
large momentum transfer,209,0.0028101560718316355
hard scattering,263,0.0028023920925648415
different value,263,0.0028023920925648415
top quark decay,208,0.0027967103489999054
spontaneous symmetry breaking,208,0.0027967103489999054
heavy quarkonia,262,0.00279173660932315
perturbative qcd approach,207,0.0027832646261681747
special case,260,0.0027704256428397675
lorentz invariance,260,0.0027704256428397675
top quark production,206,0.0027698189033364446
weak coupling,259,0.002759770159598076
scalar boson,259,0.002759770159598076
